Title,Rating,Address,Directions,Contact,Web Link
Newport Harbor Anesthesia Consultants,"4.4
(50)","
One Hoag Dr, Newport Beach, CA 92663, United States",https://www.google.com/maps/place/Newport+Harbor+Anesthesia+Consultants/data=!4m7!3m6!1s0x80dd2008b9c944e3:0x698ff8c07de061a6!8m2!3d33.625061!4d-117.9304161!16s%2Fg%2F1tgln61k!19sChIJ40TJuQgg3YARpmHgfcD4j2k?authuser=0&hl=en&rclk=1,"
+1 949-764-6954",http://www.newportharboranesthesia.com/
California Society of Anesthesiologists,"4.4
(50)","
1 Capitol Mall #800, Sacramento, CA 95814, United States",https://www.google.com/maps/place/California+Society+of+Anesthesiologists/data=!4m7!3m6!1s0x808f9ec21d3631bf:0x394fbfd2a023f26f!8m2!3d38.5802577!4d-121.5062819!16s%2Fg%2F1v3gs418!19sChIJvzE2HcKej4ARb_IjoNK_Tzk?authuser=0&hl=en&rclk=1,"
+1 916-290-5830",http://www.csahq.org/
California Pacific Medical Center Anesthesiologists,,"
2333 Buchanan St, San Francisco, CA 94115, United States",https://www.google.com/maps/place/California+Pacific+Medical+Center+Anesthesiologists/data=!4m7!3m6!1s0x808580c6eaeb869d:0x7fc9fa2603f7f6ba!8m2!3d37.7908706!4d-122.4312411!16s%2Fg%2F1hc5mbmhs!19sChIJnYbr6saAhYARuvb3Ayb6yX8?authuser=0&hl=en&rclk=1,"
+1 415-600-2077",https://www.sutterhealth.org/find-doctor/city/san-francisco/anesthesiologists
Greg Stratmann Anesthesia,,"
Vituity, 718 University Ave # 211, Los Gatos, CA 95032, United States",https://www.google.com/maps/place/Greg+Stratmann+Anesthesia/data=!4m7!3m6!1s0x808e352854a2a2e1:0x997c4c890bfe1d9d!8m2!3d37.2369568!4d-121.9750208!16s%2Fg%2F11h05z3ksx!19sChIJ4aKiVCg1joARnR3-C4lMfJk?authuser=0&hl=en&rclk=1,"
+1 619-850-7549",
G2 Anesthesia | Silicon Valley’s Anesthesia Experts,"4.9
(85)",,https://www.google.com/maps/place/G2+Anesthesia+%7C+Silicon+Valley%E2%80%99s+Anesthesia+Experts/data=!4m7!3m6!1s0x808e3594a2216bfb:0xf778e8079c79200f!8m2!3d37.2369697!4d-121.9750772!16s%2Fg%2F1tdp9vpn!19sChIJ-2shopQ1joARDyB5nAfoePc?authuser=0&hl=en&rclk=1,"
+1 408-399-5546",https://www.g2anesthesia.com/?utm_campaign=gmb
Anesthesia Medical Group of Santa Barbara,"4.9
(212)","
3700 State St Suite 200, Santa Barbara, CA 93105, United States",https://www.google.com/maps/place/Anesthesia+Medical+Group+of+Santa+Barbara/data=!4m7!3m6!1s0x80e914f218c85e6d:0x710479b9a9b1cf98!8m2!3d34.4411015!4d-119.7423553!16s%2Fg%2F1wtbv5tw!19sChIJbV7IGPIU6YARmM-xqbl5BHE?authuser=0&hl=en&rclk=1,"
+1 805-682-7751",https://www.amgsb.com/
Coachella Valley Anesthesia,"1.0
(1)",,https://www.google.com/maps/place/Coachella+Valley+Anesthesia/data=!4m7!3m6!1s0x80ea4354635de6b5:0x35612e65cfd9e0cb!8m2!3d35.3968974!4d-119.0917042!16s%2Fg%2F11v60qd37f!19sChIJteZdY1RD6oARy-DZz2UuYTU?authuser=0&hl=en&rclk=1,"
+1 760-699-2400",https://www.cvanes.com/
CA Anesthesia,"5.0
(1)","
6077 Coffee Rd, Bakersfield, CA 93308, United States",https://www.google.com/maps/place/CA+Anesthesia/data=!4m4!3m3!1s0x80dcefddb9c9ba53:0x843090b6670e29f3!16s%2Fg%2F11ddzmtzgw!19sChIJU7rJud3v3IAR8ykOZ7aQMIQ?authuser=0&hl=en&rclk=1,"
+1 949-407-6403",
Medical Anesthesia Consultants,"5.0
(2)","
2175 N California Blvd UNIT 425, Walnut Creek, CA 94596, United States",https://www.google.com/maps/place/Medical+Anesthesia+Consultants/data=!4m7!3m6!1s0x80856199f160d6cd:0xdcbec9fd74289303!8m2!3d37.909502!4d-122.066246!16s%2Fg%2F11ddyj0zws!19sChIJzdZg8ZlhhYARA5ModP3Jvtw?authuser=0&hl=en&rclk=1,"
+1 925-489-0217",
General Anesthesia Specialist,"1.0
(1)",,https://www.google.com/maps/place/General+Anesthesia+Specialist/data=!4m7!3m6!1s0x80c2b882f4580ce7:0xc51a99795847f5e4!8m2!3d34.0615843!4d-118.3010834!16s%2Fg%2F1261jfgk3!19sChIJ5wxY9IK4woAR5PVHWHmZGsU?authuser=0&hl=en&rclk=1,"
+1 213-637-3739",
"Anesthesia Associates, Inc. (AincA)",,,"https://www.google.com/maps/place/Anesthesia+Associates,+Inc.+%28AincA%29/data=!4m7!3m6!1s0x80db8ab5b83bbddf:0xc2c190189d299694!8m2!3d33.1379412!4d-117.1521292!16s%2Fg%2F1tfcj13j!19sChIJ3707uLWK24ARlJYpnRiQwcI?authuser=0&hl=en&rclk=1","
+1 760-744-6561",http://www.ainca.com/
"Dr. Pejman Golpanian, MD",,"
460 Enterprise St, San Marcos, CA 92078, United States","https://www.google.com/maps/place/Dr.+Pejman+Golpanian,+MD/data=!4m7!3m6!1s0x80c2bb59ad70bf97:0x5af19f0959144de1!8m2!3d34.1692715!4d-118.5005025!16s%2Fg%2F11rfbzdgkt!19sChIJl79wrVm7woAR4U0UWQmf8Vo?authuser=0&hl=en&rclk=1","
+1 818-233-0234",http://www.drgolpanian.com/
Anesthesiology Consultants of Marin,"5.0
(271)",,https://www.google.com/maps/place/Anesthesiology+Consultants+of+Marin/data=!4m7!3m6!1s0x80859a0a7c77ba6d:0xff21b6afcef6f5c3!8m2!3d37.947322!4d-122.53612!16s%2Fg%2F1tj57_qd!19sChIJbbp3fAqahYARw_X2zq-2If8?authuser=0&hl=en&rclk=1,"
+1 415-927-4070",https://anesthesiologyofmarin.com/
Usc Dept Of Anesthesiology,"1.0
(2)",,https://www.google.com/maps/place/Usc+Dept+Of+Anesthesiology/data=!4m7!3m6!1s0x80c2c5d92a37afcd:0xf601b5d5b5815921!8m2!3d34.0626239!4d-118.202541!16s%2Fg%2F113j8hwkb!19sChIJza83KtnFwoARIVmBtdW1AfY?authuser=0&hl=en&rclk=1,"
+1 323-442-7400",https://keck.usc.edu/anesthesiology/
"Elizabeth Myung-hi Lee, MD | Kaiser Permanente","5.0
(1)",,"https://www.google.com/maps/place/Elizabeth+Myung-hi+Lee,+MD+%7C+Kaiser+Permanente/data=!4m7!3m6!1s0x80c29eb0c65d60c5:0x4a1bbd57ec9768b2!8m2!3d34.1718489!4d-118.589832!16s%2Fg%2F1tdqtsyp!19sChIJxWBdxrCewoARsmiX7Fe9G0o?authuser=0&hl=en&rclk=1","
+1 833-574-2273",https://healthy.kaiserpermanente.org/southern-california/physicians/elizabeth-lee-3999652
Loma Linda University Anesthesiology,,,https://www.google.com/maps/place/Loma+Linda+University+Anesthesiology/data=!4m7!3m6!1s0x80dcab862f872d17:0xf8da42d35ee9bf3b!8m2!3d34.0494519!4d-117.2641774!16s%2Fg%2F12hk84fss!19sChIJFy2HL4ar3IARO7_pXtNC2vg?authuser=0&hl=en&rclk=1,"
+1 909-558-4000",
