Title,Rating,Address,Directions,Contact,Web Link
SoCal Foot Care,"4.7
(292)","
9850 Genesee Ave # 510, La Jolla, CA 92037, United States",https://www.google.com/maps/place/SoCal+Foot+Care/data=!4m7!3m6!1s0x80dc06dea7d02f25:0x9fe5816bef1f08c6!8m2!3d32.8832652!4d-117.2262942!16s%2Fg%2F1tdxw9tx!19sChIJJS_Qp94G3IARxggf72uB5Z8?authuser=0&hl=en&rclk=1,"
+1 858-450-9218",https://balancehealth.com/location/socal-foot-care-la-jolla-ca/
The Sunset Foot Clinic,"4.7
(292)","
3367 1st St Suite 201, Los Angeles, CA 90004, United States",https://www.google.com/maps/place/The+Sunset+Foot+Clinic/data=!4m7!3m6!1s0x80c2c715e45ea639:0x1f663be10d8b1a00!8m2!3d34.0738449!4d-118.2865447!16s%2Fg%2F1tfd77dc!19sChIJOaZe5BXHwoARABqLDeE7Zh8?authuser=0&hl=en&rclk=1,"
+1 916-398-2234",http://www.happyfootsadfootdoctor.com/
Eazy Foot & Ankle - Los Angeles Podiatrist,"4.9
(862)","
9233 W Pico Blvd #201, Los Angeles, CA 90035, United States",https://www.google.com/maps/place/Eazy+Foot+%26+Ankle+-+Los+Angeles+Podiatrist/data=!4m7!3m6!1s0x80c2b962311b47c7:0xaa2192e0b21ed566!8m2!3d34.0555664!4d-118.392645!16s%2Fg%2F11s1vk__2b!19sChIJx0cbMWK5woARZtUesuCSIao?authuser=0&hl=en&rclk=1,"
+1 424-279-9332",https://www.eazyfoot.com/
Southern California Foot & Ankle Specialists,"5.0
(202)",,https://www.google.com/maps/place/Southern+California+Foot+%26+Ankle+Specialists/data=!4m7!3m6!1s0x80dcee8da874cb17:0x9534adbcb6c2bce4!8m2!3d33.5583435!4d-117.6295285!16s%2Fg%2F1hff97q_6!19sChIJF8t0qI3u3IAR5LzCtrytNJU?authuser=0&hl=en&rclk=1,"
+1 949-364-9255",https://socalfootandankle.com/
Orange County Podiatry,"4.9
(103)","
16405 Sand Canyon Ave #270, Irvine, CA 92618, United States",https://www.google.com/maps/place/Orange+County+Podiatry/data=!4m7!3m6!1s0x80dcddaff1832b91:0x5771231b35692830!8m2!3d33.6612112!4d-117.7750312!16s%2Fg%2F11h0dcnjj!19sChIJkSuD8a_d3IARMChpNRsjcVc?authuser=0&hl=en&rclk=1,"
+1 949-203-5704",https://www.orangecountypodiatry.com/
Advanced Care Foot and Ankle,"4.9
(355)","
1881 California Ave Suite 102, Corona, CA 92881, United States",https://www.google.com/maps/place/Advanced+Care+Foot+and+Ankle/data=!4m7!3m6!1s0x80dcb9efeed8cd99:0xdde736a09b970359!8m2!3d33.8548348!4d-117.5382806!16s%2Fg%2F11fj466g_d!19sChIJmc3Y7u-53IARWQOXm6A2590?authuser=0&hl=en&rclk=1,"
+1 951-735-8806",https://www.advancedcarefootandankleie.com/
All South Bay Footcare - Torrance Podiatrist,,"
23365 Hawthorne Blvd UNIT 101, Torrance, CA 90505, United States",https://www.google.com/maps/place/All+South+Bay+Footcare+-+Torrance+Podiatrist/data=!4m7!3m6!1s0x80dd4a5bee6959cb:0x83783117bfb9e40d!8m2!3d33.814112!4d-118.3515367!16s%2Fg%2F1tz768nq!19sChIJy1lp7ltK3YARDeS5vxcxeIM?authuser=0&hl=en&rclk=1,"
+1 310-326-0202",https://www.allsouthbayfootcare.com/
"Podiatry Institute of Southern California: Albert Nejat, DPM, FACFAS",,"
9808 Venice Blvd. #600, Culver City, CA 90232, United States","https://www.google.com/maps/place/Podiatry+Institute+of+Southern+California:+Albert+Nejat,+DPM,+FACFAS/data=!4m7!3m6!1s0x80c2ba2945cab263:0x22fc722569b3e035!8m2!3d34.023415!4d-118.397902!16s%2Fg%2F1tcv1q5b!19sChIJY7LKRSm6woARNeCzaSVy_CI?authuser=0&hl=en&rclk=1","
+1 310-204-2300",http://www.albertnejat.com/
All Valley Podiatric Group,,"
6115 N First St STE 101, Fresno, CA 93710, United States",https://www.google.com/maps/place/All+Valley+Podiatric+Group/data=!4m7!3m6!1s0x80945d4408f75b7b:0x33537c707808ff07!8m2!3d36.8245879!4d-119.7725554!16s%2Fg%2F1tglz6z5!19sChIJe1v3CERdlIARB_8IeHB8UzM?authuser=0&hl=en&rclk=1,"
+1 559-436-1213",https://fresnopodiatry.com/
Bay Area Foot Care,,"
20130 Lake Chabot Rd Suite 202, Castro Valley, CA 94546, United States",https://www.google.com/maps/place/Bay+Area+Foot+Care/data=!4m7!3m6!1s0x808f918bceffdb21:0xe84a413181af7a0e!8m2!3d37.6974673!4d-122.0866037!16s%2Fg%2F1v_z945v!19sChIJIdv_zouRj4ARDnqvgTFBSug?authuser=0&hl=en&rclk=1,"
+1 510-581-1484",https://balancehealth.com/location/bay-area-foot-care-castro-valley-ca/
"Orange County Foot & Ankle Group, Inc.","4.8
(209)","
300 N Euclid St, Fullerton, CA 92832, United States","https://www.google.com/maps/place/Orange+County+Foot+%26+Ankle+Group,+Inc./data=!4m7!3m6!1s0x80dd2a138fb5f8ad:0xdc871428ca779c2b!8m2!3d33.872515!4d-117.9416824!16s%2Fg%2F1xtf1wdq!19sChIJrfi1jxMq3YARK5x3yigUh9w?authuser=0&hl=en&rclk=1","
+1 714-888-6860",https://www.ocfeet.com/
San Mateo Podiatry Group,,"
1750 El Camino Real UNIT 106, Burlingame, CA 94010, United States",https://www.google.com/maps/place/San+Mateo+Podiatry+Group/data=!4m7!3m6!1s0x808f9e75cb4f6401:0x380f254bb978acca!8m2!3d37.5939626!4d-122.381703!16s%2Fg%2F1td338p_!19sChIJAWRPy3Wej4ARyqx4uUslDzg?authuser=0&hl=en&rclk=1,"
+1 650-342-2420",https://www.sanmateopodiatrygroup.com/
Pacific Foot & Ankle Center,,"
24191 Paseo De Valencia #E, Laguna Woods, CA 92637, United States",https://www.google.com/maps/place/Pacific+Foot+%26+Ankle+Center/data=!4m7!3m6!1s0x80dce892b23c5601:0x17faf09e9f9b5386!8m2!3d33.6112126!4d-117.7140438!16s%2Fg%2F11cnbgchvl!19sChIJAVY8spLo3IARhlObn57w-hc?authuser=0&hl=en&rclk=1,"
+1 949-855-1177",http://www.pacificfootankle.com/
KINGSPOINT Foot and Ankle Specialists,,"
2514 S Central Ave, Los Angeles, CA 90011, United States",https://www.google.com/maps/place/KINGSPOINT+Foot+and+Ankle+Specialists/data=!4m7!3m6!1s0x80c2b9514589c0eb:0xc8a0dd032a1d47f9!8m2!3d34.0191895!4d-118.2543754!16s%2Fg%2F11c5b3b2tg!19sChIJ68CJRVG5woAR-UcdKgPdoMg?authuser=0&hl=en&rclk=1,"
+1 323-843-3668",https://www.kpfoot.com/
Ankle & Foot Care Center,"4.9
(197)","
15141 Whittier Blvd Suite 330, Whittier, CA 90603, United States",https://www.google.com/maps/place/Ankle+%26+Foot+Care+Center/data=!4m7!3m6!1s0x80c2d516638eeae9:0x2f7d45af8e96417e!8m2!3d33.9484761!4d-118.0037413!16s%2Fg%2F11jw69drjn!19sChIJ6eqOYxbVwoARfkGWjq9FfS8?authuser=0&hl=en&rclk=1,"
+1 562-399-5252",https://ankleandfootcarecenter.com/
Bay Area Podiatry Group,,"
13690 E 14th St Suite 220, San Leandro, CA 94578, United States",https://www.google.com/maps/place/Bay+Area+Podiatry+Group/data=!4m7!3m6!1s0x808f8fc44db6b96f:0x11b073872ac0865b!8m2!3d37.716403!4d-122.143628!16s%2Fg%2F11b75b_sq0!19sChIJb7m2TcSPj4ARW4bAKodzsBE?authuser=0&hl=en&rclk=1,"
+1 510-614-5633",https://www.bayareapodiatrygroup.com/?utm_source=gmb_auth
Orange County Podiatry,,"
18800 Main St #107, Huntington Beach, CA 92648, United States",https://www.google.com/maps/place/Orange+County+Podiatry/data=!4m7!3m6!1s0x80dd21333cf7556b:0xea00914678d9d73c!8m2!3d33.6885879!4d-117.9946943!16s%2Fg%2F11cr_h3txv!19sChIJa1X3PDMh3YARPNfZeEaRAOo?authuser=0&hl=en&rclk=1,"
+1 949-203-5704",https://www.orangecountypodiatry.com/
Valley Foot & Ankle Specialty Providers,,"
6145 N Thesta St, Fresno, CA 93710, United States",https://www.google.com/maps/place/Valley+Foot+%26+Ankle+Specialty+Providers/data=!4m7!3m6!1s0x80945dae5e131b99:0xd9357c7d39b9061a!8m2!3d36.8255639!4d-119.7841475!16s%2Fg%2F11ghtdv152!19sChIJmRsTXq5dlIARGga5OX18Ndk?authuser=0&hl=en&rclk=1,"
+1 559-436-4820",https://www.valleyfootankle.com/
Tustin Podiatry Clinic,,"
17400 Irvine Blvd h, Tustin, CA 92780, United States",https://www.google.com/maps/place/Tustin+Podiatry+Clinic/data=!4m7!3m6!1s0x80dcdbd834125125:0x91f04f33d668c9d0!8m2!3d33.7479691!4d-117.8284615!16s%2Fg%2F1tfrs6st!19sChIJJVESNNjb3IAR0Mlo1jNP8JE?authuser=0&hl=en&rclk=1,"
+1 714-880-8054",https://www.tustinpodiatryclinic.com/
Pacific Coast Podiatry,"4.8
(38)","
17400 Irvine Blvd h, Tustin, CA 92780, United States",https://www.google.com/maps/place/Pacific+Coast+Podiatry/data=!4m7!3m6!1s0x80c3537a9d32651f:0x1bc228be0ae719e5!8m2!3d34.1309482!4d-117.2792901!16s%2Fg%2F1tg4x3b7!19sChIJH2UynXpTw4AR5RnnCr4owhs?authuser=0&hl=en&rclk=1,"
+1 714-880-8054",https://www.tustinpodiatryclinic.com/
Ankle & Foot Care Center,"4.8
(38)","
17400 Irvine Blvd h, Tustin, CA 92780, United States",https://www.google.com/maps/place/Ankle+%26+Foot+Care+Center/data=!4m7!3m6!1s0x80dd33235db002a1:0x3d037ebbdd6a4a1d!8m2!3d33.8901918!4d-118.1598328!16s%2Fg%2F11snyvwqs5!19sChIJoQKwXSMz3YARHUpq3bt-Az0?authuser=0&hl=en&rclk=1,"
+1 714-880-8054",https://www.tustinpodiatryclinic.com/
"Bay Area Foot & Laser Podiatry Group - Berkeley, Jonathan Huey DPM | Lisa Harrison DPM","5.0
(47)","
15730 Paramount Blvd, Paramount, CA 90723, United States","https://www.google.com/maps/place/Bay+Area+Foot+%26+Laser+Podiatry+Group+-+Berkeley,+Jonathan+Huey+DPM+%7C+Lisa+Harrison+DPM/data=!4m7!3m6!1s0x80857e837faa8ce3:0x3c31a3bf5a650220!8m2!3d37.8552104!4d-122.2578694!16s%2Fg%2F1tz76607!19sChIJ44yqf4N-hYARIAJlWr-jMTw?authuser=0&hl=en&rclk=1","
+1 562-399-5252",https://bayareafootandlaser.com/appointment-request/
La Clinica De Los Pies | Foot and Ankle Care in Huntington Park,"5.0
(73)","
3000 Colby St #104, Berkeley, CA 94705, United States",https://www.google.com/maps/place/La+Clinica+De+Los+Pies+%7C+Foot+and+Ankle+Care+in+Huntington+Park/data=!4m7!3m6!1s0x80c2c9d65d449a7f:0xbf47dfdb63b215c1!8m2!3d33.9870291!4d-118.2255932!16s%2Fg%2F11h7dgchgd!19sChIJf5pEXdbJwoARwRWyY9vfR78?authuser=0&hl=en&rclk=1,"
+1 510-849-3800",
"Pacific Point Podiatry, Inc","4.9
(89)","
6021 Pacific Blvd Suite #103, Huntington Park, CA 90255, United States","https://www.google.com/maps/place/Pacific+Point+Podiatry,+Inc/data=!4m7!3m6!1s0x808e1bc8f0e18e4b:0x17ee2cbbda0ac48a!8m2!3d36.9760841!4d-121.8849102!16s%2Fg%2F11gjmtx3jf!19sChIJS47h8MgbjoARisQK2rss7hc?authuser=0&hl=en&rclk=1","
+1 323-433-6844",https://drtea.clientsecure.me/
"Professional Foot & Ankle Center: Shadi Yadegaran, DPM","5.0
(108)","
9500 Soquel Dr # A, Aptos, CA 95003, United States","https://www.google.com/maps/place/Professional+Foot+%26+Ankle+Center:+Shadi+Yadegaran,+DPM/data=!4m7!3m6!1s0x80c2bfc4bb7c3f33:0x86ba67feffe64296!8m2!3d34.1581732!4d-118.3295403!16s%2Fg%2F11b6dq_mbl!19sChIJMz98u8S_woARlkLm__5nuoY?authuser=0&hl=en&rclk=1","
+1 831-221-9424",https://www.profootandanklecenter.com/book-online/
"Alona Kashanian, DPM","4.9
(63)","
2601 W Alameda Ave #208, Burbank, CA 91505, United States","https://www.google.com/maps/place/Alona+Kashanian,+DPM/data=!4m7!3m6!1s0x80c2c80968cd55b7:0x7113ff0a1dcefd6c!8m2!3d34.0117011!4d-118.282097!16s%2Fg%2F1xgrn63s!19sChIJt1XNaAnIwoARbP3OHQr_E3E?authuser=0&hl=en&rclk=1","
+1 818-558-7075",https://www.profootandanklecenter.com/book-online/
"Los Feliz Foot and Ankle, Dustin Rilling DPM","5.0
(72)","
3984 S Figueroa St, Los Angeles, CA 90037, United States","https://www.google.com/maps/place/Los+Feliz+Foot+and+Ankle,+Dustin+Rilling+DPM/data=!4m7!3m6!1s0x80c2c0b02b43918f:0xd59b967efdedc8c5!8m2!3d34.1057769!4d-118.2879267!16s%2Fg%2F1th8265z!19sChIJj5FDK7DAwoARxcjt_X6Wm9U?authuser=0&hl=en&rclk=1","
+1 213-747-7272",https://balancehealth.com/provider/alona-kashanian-dpm/precision-foot-and-ankle-centers/
Foothill Podiatry Clinic,"5.0
(127)","
1909 Hillhurst Ave, Los Angeles, CA 90027, United States",https://www.google.com/maps/place/Foothill+Podiatry+Clinic/data=!4m7!3m6!1s0x809b70681cf245e3:0xe14d47f8b1c48a4d!8m2!3d39.2287699!4d-121.0489246!16s%2Fg%2F1tt1hgk5!19sChIJ40XyHGhwm4ARTYrEsfhHTeE?authuser=0&hl=en&rclk=1,"
+1 323-666-5585",https://www.losfelizfootandankle.com/
SoCal Podiatry,"4.9
(98)","
152 Catherine Ln F, Grass Valley, CA 95945, United States",https://www.google.com/maps/place/SoCal+Podiatry/data=!4m7!3m6!1s0x80c2d2bb1880cd65:0xf4cf5c38f9e911f7!8m2!3d33.936595!4d-118.131212!16s%2Fg%2F1xn_nnf4!19sChIJZc2AGLvSwoAR9xHp-Thcz_Q?authuser=0&hl=en&rclk=1,"
+1 530-477-7200",https://www.foothillpodiatryclinic.com/
SoCal Podiatry,"4.9
(98)","
152 Catherine Ln F, Grass Valley, CA 95945, United States",https://www.google.com/maps/place/SoCal+Podiatry/data=!4m7!3m6!1s0x80dca5a0d3ce7eab:0xab5a8f276a264b7a!8m2!3d33.9166436!4d-117.2678316!16s%2Fg%2F11f660dgqp!19sChIJq37O06Cl3IAReksmaiePWqs?authuser=0&hl=en&rclk=1,"
+1 530-477-7200",https://www.foothillpodiatryclinic.com/
