Title,Rating,Address,Directions,Contact,Web Link
California Dental,,"
1009 Glenoaks Blvd, San Fernando, CA 91340, United States",https://www.google.com/maps/place/California+Dental/data=!4m7!3m6!1s0x80c291d33c81601f:0xcbb3afe8df9b3b69!8m2!3d34.290861!4d-118.4295614!16s%2Fg%2F1tn01h8g!19sChIJH2CBPNORwoARaTub3-ivs8s?authuser=0&hl=en&rclk=1,"
+1 818-361-3889",https://www.california-dental.net/
Dental Group of California,,"
4952 Cesar Chavez Blvd #101, Fresno, CA 93727, United States",https://www.google.com/maps/place/Dental+Group+of+California/data=!4m7!3m6!1s0x8094592fffffffff:0xa8752de284b8242!8m2!3d36.7356348!4d-119.7300539!16s%2Fg%2F1vc6dncd!19sChIJ_____y9ZlIARQoJLKN5Shwo?authuser=0&hl=en&rclk=1,"
+1 559-453-9100",http://www.dentalgroupofcalifornia.com/
Southern California Family Dentistry,"4.6
(215)",,https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80dce8f8d7ea1469:0x769c99b7ad8d2380!8m2!3d33.6240846!4d-117.6972946!16s%2Fg%2F1ts3lhp2!19sChIJaRTq1_jo3IARgCONrbeZnHY?authuser=0&hl=en&rclk=1,"
+1 949-830-3743",http://www.scfamilydentistry.com/
California Dental Group Los Angeles,,"
4701 Eagle Rock Blvd, Los Angeles, CA 90041, United States",https://www.google.com/maps/place/California+Dental+Group+Los+Angeles/data=!4m7!3m6!1s0x80c2c15b5070f019:0x4b5e8b97d2cb7b1c!8m2!3d34.1304425!4d-118.2169757!16s%2Fg%2F1tj4yzvs!19sChIJGfBwUFvBwoARHHvL0peLXks?authuser=0&hl=en&rclk=1,"
+1 323-204-3120",http://www.cadentalgroup.com/
California Dental Care and Orthodontics,"4.8
(1,128)","
9275 Base Line Rd, Rancho Cucamonga, CA 91730, United States",https://www.google.com/maps/place/California+Dental+Care+and+Orthodontics/data=!4m7!3m6!1s0x80c3368c9b7c69ff:0x563a455bfc587b2b!8m2!3d34.1212653!4d-117.6027321!16s%2Fg%2F1tf1c0dq!19sChIJ_2l8m4w2w4ARK3tY_FtFOlY?authuser=0&hl=en&rclk=1,"
+1 909-265-4940",https://dentalcarecalifornia.com/
"California Dental Care, American Canyon, Nahreen Imam, DDS, Inc.","4.4
(331)","
3860 Broadway #104, American Canyon, CA 94503, United States","https://www.google.com/maps/place/California+Dental+Care,+American+Canyon,+Nahreen+Imam,+DDS,+Inc./data=!4m7!3m6!1s0x80850c6fd6c0ad4b:0xef82d79b834eb556!8m2!3d38.176784!4d-122.253757!16s%2Fg%2F1wcxd9n6!19sChIJS63A1m8MhYARVrVOg5vXgu8?authuser=0&hl=en&rclk=1","
+1 707-553-8008",https://www.cdsmile.com/
Southern California Family Dentistry,,"
14412 Whittier Blvd, Whittier, CA 90605, United States",https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80c2d48219ac3d49:0xa4e846c3b0dfbc4b!8m2!3d33.9542689!4d-118.0173864!16s%2Fg%2F1tf7mv65!19sChIJST2sGYLUwoARS7zfsMNG6KQ?authuser=0&hl=en&rclk=1,"
+1 562-693-0788",http://www.scfamilydentistry.com/
Cal Dental of Bell,"4.6
(228)","
4021 Florence Ave, Bell, CA 90201, United States",https://www.google.com/maps/place/Cal+Dental+of+Bell/data=!4m7!3m6!1s0x80c2cebc0e63e35d:0x586fc93f84bdb126!8m2!3d33.9713787!4d-118.1959147!16s%2Fg%2F11bx0jkv98!19sChIJXeNjDrzOwoARJrG9hD_Jb1g?authuser=0&hl=en&rclk=1,"
+1 323-560-6096",https://caldentalusa.com/caldentalbell
Glenn Dental,,"
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/Glenn+Dental/data=!4m7!3m6!1s0x80c22c5b73052951:0xfe71ea5c2150f763!8m2!3d35.1268575!4d-117.9568975!16s%2Fg%2F1tdyr11m!19sChIJUSkFc1sswoARY_dQIVzqcf4?authuser=0&hl=en&rclk=1,"
+1 760-373-1950",https://www.glenndental.com/
California Dental Group,"4.4
(51)","
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c29587d3d16d1f:0x1b960860fee6cce1!8m2!3d34.1647413!4d-118.3573577!16s%2Fg%2F1tk63cq3!19sChIJH23R04eVwoAR4czm_mAIlhs?authuser=0&hl=en&rclk=1,"
+1 818-741-3954",https://www.cadentalgroup.com/contact/north-hollywood/
"Dr. Bill Dorfman, DDS – Century City Aesthetic Dentistry","4.6
(234)","
10400 Magnolia Blvd, North Hollywood, CA 91601, United States","https://www.google.com/maps/place/Dr.+Bill+Dorfman,+DDS+%E2%80%93+Century+City+Aesthetic+Dentistry/data=!4m7!3m6!1s0x80c2bbf24adbb6d3:0xa23228a1baf2f33b!8m2!3d34.0593713!4d-118.411306!16s%2Fg%2F1tq8jtty!19sChIJ07bbSvK7woARO_PyuqEoMqI?authuser=0&hl=en&rclk=1","
+1 310-277-5678",https://www.billdorfmandds.com/?utm_source=GoogleMyBusiness&utm_medium=Organic&utm_campaign=Website
California Smile,"5.0
(1,663)",,https://www.google.com/maps/place/California+Smile/data=!4m7!3m6!1s0x8085669418f8f39b:0xbe26f663baa78f56!8m2!3d37.9740896!4d-122.0647823!16s%2Fg%2F1t_wpk_n!19sChIJm_P4GJRmhYARVo-numP2Jr4?authuser=0&hl=en&rclk=1,"
+1 925-689-6400",http://www.californiasmile.com/
Cal Dental Pasadena,"4.9
(238)","
620 Contra Costa Blvd Suite 100, Pleasant Hill, CA 94523, United States",https://www.google.com/maps/place/Cal+Dental+Pasadena/data=!4m7!3m6!1s0x80c2c3276ac431c3:0x9b0f53de5fc1059d!8m2!3d34.1667619!4d-118.132692!16s%2Fg%2F11fb0q9fds!19sChIJwzHEaifDwoARnQXBX95TD5s?authuser=0&hl=en&rclk=1,"
+1 626-584-1800",https://www.caldentalpasadena.com/
CaliDental Santa Maria,"4.9
(150)",,https://www.google.com/maps/place/CaliDental+Santa+Maria/data=!4m7!3m6!1s0x80ec6b234c4f0c61:0x443bf67156a8b550!8m2!3d34.9206391!4d-120.4330697!16s%2Fg%2F11k6c2z1zb!19sChIJYQxPTCNr7IARULWoVnH2O0Q?authuser=0&hl=en&rclk=1,"
+1 805-309-0570",https://www.calidentalsmiles.com/
California Dental Group,"4.6
(428)",,https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80dcae174c6db2cf:0x852e74bc74bcb861!8m2!3d33.9834337!4d-117.3489385!16s%2Fg%2F1v8y49_0!19sChIJz7JtTBeu3IARYbi8dLx0LoU?authuser=0&hl=en&rclk=1,"
+1 951-292-4488",https://www.cadentalgroup.com/contact/riverside/
San Francisco Dental Care,"4.9
(429)",,https://www.google.com/maps/place/San+Francisco+Dental+Care/data=!4m7!3m6!1s0x8085873b716c247f:0x468da664a0f485ee!8m2!3d37.7854604!4d-122.462695!16s%2Fg%2F1tc_wv12!19sChIJfyRscTuHhYAR7oX0oGSmjUY?authuser=0&hl=en&rclk=1,"
+1 415-668-0526",https://www.sanfranciscodentalcare.com/
South California Dental Practice,"5.0
(212)",,https://www.google.com/maps/place/South+California+Dental+Practice/data=!4m7!3m6!1s0x809012a2948d0cab:0x2500aa14df57f995!8m2!3d37.9532211!4d-121.2841616!16s%2Fg%2F1thtpvcg!19sChIJqwyNlKISkIARlflX3xSqACU?authuser=0&hl=en&rclk=1,"
+1 209-941-0814",
