Title,Rating,Address,Directions,Contact,Web Link
California Dermatology Care,"4.8
(2,707)","
2262 Camino Ramon #200, San Ramon, CA 94583, United States",https://www.google.com/maps/place/California+Dermatology+Care/data=!4m7!3m6!1s0x808ff2eaa949254f:0xeaf1e21fa3a38531!8m2!3d37.7759487!4d-121.9696636!16s%2Fg%2F1tplqkjn!19sChIJTyVJqeryj4ARMYWjox_i8eo?authuser=0&hl=en&rclk=1,"
+1 925-328-0255",https://www.drwilliamting.com/
California Dermatology Institute,"4.8
(2,707)","
5725 S Soto St, Huntington Park, CA 90255, United States",https://www.google.com/maps/place/California+Dermatology+Institute/data=!4m7!3m6!1s0x80c2c99977e7b563:0x4c5bcf37d379497c!8m2!3d33.9904485!4d-118.2195911!16s%2Fg%2F11mvmj6nmn!19sChIJY7Xnd5nJwoARfEl50zfPW0w?authuser=0&hl=en&rclk=1,"
+1 805-222-5803",https://www.calderminstitute.com/dermatologist-huntington-park/
Skin and Cancer Institute - Bakersfield (California Ave.),"4.7
(435)","
5600 California Ave Suite #101, Bakersfield, CA 93309, United States",https://www.google.com/maps/place/Skin+and+Cancer+Institute+-+Bakersfield+%28California+Ave.%29/data=!4m7!3m6!1s0x80ea41f6c649b069:0x5c4dc6fd94a83e41!8m2!3d35.3562333!4d-119.0617977!16s%2Fg%2F1261f_114!19sChIJabBJxvZB6oARQT6olP3GTVw?authuser=0&hl=en&rclk=1,"
+1 661-322-2700",https://skinandcancerinstitute.com/location/bakersfield/
California Dermatology Care,"4.7
(2,413)","
500 Alfred Nobel Dr STE 185, Hercules, CA 94547, United States",https://www.google.com/maps/place/California+Dermatology+Care/data=!4m7!3m6!1s0x808ff28d821a2f19:0xcef3922bea0b78f2!8m2!3d38.0177001!4d-122.2738265!16s%2Fg%2F1tflmp4j!19sChIJGS8ago3yj4AR8ngL6iuS884?authuser=0&hl=en&rclk=1,"
+1 510-669-5700",https://www.drwilliamting.com/
California Skin Institute,,"
1700 N Rose Ave Suite 450, Oxnard, CA 93030, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80e84dff2f87fa37:0x4d5c7dd39b5e0a22!8m2!3d34.2163402!4d-119.1556911!16s%2Fg%2F11h1dpx2h9!19sChIJN_qHL_9N6IARIgpem9N9XE0?authuser=0&hl=en&rclk=1,"
+1 805-201-7150",https://www.californiaskininstitute.com/locations/oxnard-ca/
California Skin Institute,,"
289 W Huntington Dr Suite 208, Arcadia, CA 91007, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80c2dbb0766bec31:0x39aaa12e4bc759b3!8m2!3d34.1357603!4d-118.0423484!16s%2Fg%2F1trvlq90!19sChIJMexrdrDbwoARs1nHSy6hqjk?authuser=0&hl=en&rclk=1,"
+1 626-446-8809",https://www.californiaskininstitute.com/locations/arcadia-ca/
California Skin Institute,"4.8
(691)","
136 N San Mateo Dr 2nd floor, San Mateo, CA 94401, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x808f9e71376ef2dd:0xd6c35428ebeb10d3!8m2!3d37.5694359!4d-122.3290259!16s%2Fg%2F1tplqkc2!19sChIJ3fJuN3Gej4AR0xDr6yhUw9Y?authuser=0&hl=en&rclk=1,"
+1 650-348-1242",https://www.californiaskininstitute.com/locations/san-mateo-ca/
California Skin Institute,"4.8
(1,123)",,https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80e83ab7dee80b7f:0x9ebbc568bd0efb79!8m2!3d34.1756026!4d-118.8698929!16s%2Fg%2F1tg5vc0z!19sChIJfwvo3rc66IARefsOvWjFu54?authuser=0&hl=en&rclk=1,"
+1 805-497-8080",https://www.californiaskininstitute.com/locations/thousand-oaks-ca/
"California Skin Institute: Cathy Macknet Kasner, MD","4.8
(618)","
25815 Barton Rd #101, Loma Linda, CA 92354, United States","https://www.google.com/maps/place/California+Skin+Institute:+Cathy+Macknet+Kasner,+MD/data=!4m7!3m6!1s0x80dcabbf062d1de7:0x605814594778985!8m2!3d34.0474195!4d-117.2401532!16s%2Fg%2F1tfzh1m1!19sChIJ5x0tBr-r3IARhYl3lEWBBQY?authuser=0&hl=en&rclk=1","
+1 909-796-0224",https://californiaskininstitute.com/providers/cathy-macknet-md/
California Skin Institute,"4.8
(376)","
204 Green Valley Rd, Freedom, CA 95019, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x808e1a516f039287:0x1ec6e2096f97b5b7!8m2!3d36.9377936!4d-121.7709725!16s%2Fg%2F12hkxmz2d!19sChIJh5IDb1EajoARt7WXbwnixh4?authuser=0&hl=en&rclk=1,"
+1 831-728-2005",https://www.californiaskininstitute.com/locations/freedom-ca/
California Dermatology Care,"4.9
(934)","
48 Fenton St, Livermore, CA 94550, United States",https://www.google.com/maps/place/California+Dermatology+Care/data=!4m7!3m6!1s0x808fe7096d1fc4ed:0xb90f636a59e59077!8m2!3d37.6780151!4d-121.782813!16s%2Fg%2F11h_1g6bnl!19sChIJ7cQfbQnnj4ARd5DlWWpjD7k?authuser=0&hl=en&rclk=1,"
+1 925-359-6255",https://www.drwilliamting.com/
California Dermatology Institute,,"
18433 Roscoe Blvd # 104, Northridge, CA 91325, United States",https://www.google.com/maps/place/California+Dermatology+Institute/data=!4m7!3m6!1s0x80c29b2feb1c114f:0xadb124d7f3567dbd!8m2!3d34.2211292!4d-118.5347274!16s%2Fg%2F11lgkgz1m_!19sChIJTxEc6y-bwoARvX1W89cksa0?authuser=0&hl=en&rclk=1,"
+1 888-367-1850",https://www.calderminstitute.com/dermatologist-northridge/
California Skin Institute,"4.7
(300)",,https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80e835dee61ea0e1:0x6cfd396ed6ea6d23!8m2!3d34.242272!4d-119.021547!16s%2Fg%2F1vl5h2kc!19sChIJ4aAe5t416IARI23q1m45_Ww?authuser=0&hl=en&rclk=1,"
+1 805-388-2068",https://www.californiaskininstitute.com/locations/camarillo-ca/
California Skin Institute,"4.8
(797)","
2438 N Ponderosa Dr Ste C105, Camarillo, CA 93010, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x808df888d114e115:0xdd1d210ae751ba12!8m2!3d36.6616672!4d-121.6546501!16s%2Fg%2F12hnnq7md!19sChIJFeEU0Yj4jYARErpR5wohHd0?authuser=0&hl=en&rclk=1,"
+1 831-757-1007",https://www.californiaskininstitute.com/locations/salinas-ca/
California Skin Institute,"4.7
(1,493)",,https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80dce08f36686959:0x3008a610462b1da7!8m2!3d33.6134169!4d-117.8716798!16s%2Fg%2F1263d_n6g!19sChIJWWloNo_g3IARpx0rRhCmCDA?authuser=0&hl=en&rclk=1,"
+1 949-640-0434",https://www.californiaskininstitute.com/
California Skin Institute,"4.9
(509)","
9460 No Name Uno # 210, Gilroy, CA 95020, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x8091e17aad538f5b:0xb9daff70a6214bbf!8m2!3d37.0378283!4d-121.5709824!16s%2Fg%2F1tfnt7nd!19sChIJW49TrXrhkYARv0shpnD_2rk?authuser=0&hl=en&rclk=1,"
+1 408-847-0888",https://www.californiaskininstitute.com/locations/gilroy-ca/
"Southern California Dermatology, Inc","4.8
(965)",,"https://www.google.com/maps/place/Southern+California+Dermatology,+Inc/data=!4m7!3m6!1s0x80dcd9a2a142d17d:0xcd8f0da41c1bea3c!8m2!3d33.7620259!4d-117.8554289!16s%2Fg%2F11c1nnspx_!19sChIJfdFCoaLZ3IARPOobHKQNj80?authuser=0&hl=en&rclk=1","
+1 714-547-5151",http://www.socalderm.org/
California Skin Institute,"4.8
(1,180)",,https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80dcabbf07929215:0xfa6ace46339590e4!8m2!3d34.0474519!4d-117.2409014!16s%2Fg%2F11r90fpb2!19sChIJFZKSB7-r3IAR5JCVM0bOavo?authuser=0&hl=en&rclk=1,"
+1 909-796-0224",https://www.californiaskininstitute.com/locations/loma-linda-ca/
California Skin Institute,"4.8
(557)","
25815 Barton Rd, Loma Linda, CA 92354, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80dc0b842d9732b1:0xed1f30792bd1374d!8m2!3d33.0538495!4d-117.2604084!16s%2Fg%2F11c74hdtq6!19sChIJsTKXLYQL3IARTTfRK3kwH-0?authuser=0&hl=en&rclk=1,"
+1 760-633-1000",https://www.californiaskininstitute.com/locations/encinitas-ca/
California Dermatology Institute,"4.9
(554)",,https://www.google.com/maps/place/California+Dermatology+Institute/data=!4m7!3m6!1s0x80c2c7df770fb879:0xdde616773ee671ae!8m2!3d34.0513785!4d-118.2171632!16s%2Fg%2F11jh7kg44g!19sChIJebgPd9_HwoARrnHmPncW5t0?authuser=0&hl=en&rclk=1,"
+1 888-367-1850",https://www.calderminstitute.com/dermatologist-los-angeles/
California Skin Institute,"4.7
(157)","
1701 E Cesar E Chavez Ave Suite 305, Los Angeles, CA 90033, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x8090512243a9b879:0xfea6893c1d6a225c!8m2!3d37.6664619!4d-120.9923934!16s%2Fg%2F11b6zvdp4g!19sChIJebipQyJRkIARXCJqHTyJpv4?authuser=0&hl=en&rclk=1,"
+1 209-578-5072",https://www.californiaskininstitute.com/locations/modesto-ca/
California Skin Institute,"4.7
(1,113)","
1524 McHenry Ave Suite 470, Modesto, CA 95350, United States",https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80c2b4cdf6bec0a7:0x11cf2c223a32d5c0!8m2!3d33.8384338!4d-118.3587571!16s%2Fg%2F1tfq9h7p!19sChIJp8C-9s20woARwNUyOiIszxE?authuser=0&hl=en&rclk=1,"
+1 310-543-4444",https://www.californiaskininstitute.com/locations/torrance-ca-2/
California Skin Institute,"4.9
(2,054)",,https://www.google.com/maps/place/California+Skin+Institute/data=!4m7!3m6!1s0x80dc73e3aae46645:0x3d2d9e675a8e38ba!8m2!3d33.183893!4d-117.2825066!16s%2Fg%2F11dxdgbzp1!19sChIJRWbkquNz3IARujiOWmeeLT0?authuser=0&hl=en&rclk=1,"
+1 760-295-2299",https://www.californiaskininstitute.com/locations/vista-ca/
