Title,Rating,Address,Directions,Contact,Web Link
Fair Oaks Women's Health,"4.8
(618)","
625 S Fair Oaks Ave Suite 255, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Fair+Oaks+Women%27s+Health/data=!4m7!3m6!1s0x80c2c37c4cf8c533:0x4294acf31dbc95b2!8m2!3d34.134987!4d-118.150714!16s%2Fg%2F1trxkjxt!19sChIJM8X4THzDwoARspW8HfOslEI?authuser=0&hl=en&rclk=1,"
+1 626-304-2626",https://www.fowh.com/new-patients
SoCal Ob/Gyn,"4.8
(618)","
1577 E Chevy Chase Dr Suite 110, Glendale, CA 91206, United States",https://www.google.com/maps/place/SoCal+Ob%2FGyn/data=!4m7!3m6!1s0x80c2c1850ac1f9a5:0x35b03f6632ac7be6!8m2!3d34.1533185!4d-118.2301164!16s%2Fg%2F11h714r6cn!19sChIJpfnBCoXBwoAR5nusMmY_sDU?authuser=0&hl=en&rclk=1,"
+1 818-306-4896",http://www.socalobgynassociates.com/?utm_source=gmb_auth
Ob/Gyn Specialists,"5.0
(125)","
2637 Shadelands Dr, Walnut Creek, CA 94598, United States",https://www.google.com/maps/place/Ob%2FGyn+Specialists/data=!4m7!3m6!1s0x80856053b522d94d:0xa24d5d424f3a6ce0!8m2!3d37.925276!4d-122.0220777!16s%2Fg%2F1td6mwr9!19sChIJTdkitVNghYAR4Gw6T0JdTaI?authuser=0&hl=en&rclk=1,"
+1 925-945-6600",https://obgynwc.net/?utm_source=gmb&utm_medium=organic
Huntington Obstetrics and Gynecology: Individual OB/GYN Physician Practices,"4.9
(588)","
10 Congress St #400, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Huntington+Obstetrics+and+Gynecology:+Individual+OB%2FGYN+Physician+Practices/data=!4m7!3m6!1s0x80c2c37d97f410e3:0x44fb87a603194a56!8m2!3d34.1338842!4d-118.1507616!16s%2Fg%2F1tmbwcy2!19sChIJ4xD0l33DwoARVkoZA6aH-0Q?authuser=0&hl=en&rclk=1,"
+1 626-449-6223",http://www.huntingtonobgyn.com/
"Gynecology and Obstetrics Medical Group: Essam Taymour, M.D., FACOG","4.8
(540)","
3550 Linden Ave Suite 1, Long Beach, CA 90807, United States","https://www.google.com/maps/place/Gynecology+and+Obstetrics+Medical+Group:+Essam+Taymour,+M.D.,+FACOG/data=!4m7!3m6!1s0x80dd33968514ba41:0xcea21d74a64cd5b9!8m2!3d33.8212456!4d-118.1861996!16s%2Fg%2F1thw70st!19sChIJQboUhZYz3YARudVMpnQdos4?authuser=0&hl=en&rclk=1","
+1 562-595-5331",http://www.gynobmedgroup.com/
Main Street Obstetrics & Gynecology,"4.9
(75)","
2415 E Main St, Ventura, CA 93003, United States",https://www.google.com/maps/place/Main+Street+Obstetrics+%26+Gynecology/data=!4m7!3m6!1s0x80e9ad71bff8a221:0x6fb7469cd6ae9e06!8m2!3d34.2760935!4d-119.2637993!16s%2Fg%2F11tc0x4w_0!19sChIJIaL4v3Gt6YARBp6u1pxGt28?authuser=0&hl=en&rclk=1,"
+1 805-454-7133",https://www.mainstreetobgyn.com/?utm_source=gmb_auth
Almond ObGyn,"4.9
(79)","
8274 Melrose Ave, Los Angeles, CA 90046, United States",https://www.google.com/maps/place/Almond+ObGyn/data=!4m7!3m6!1s0x80c2bf7bb453f70d:0x365cf6624ebd9f4c!8m2!3d34.0834423!4d-118.3699325!16s%2Fg%2F11mk8tkvqt!19sChIJDfdTtHu_woARTJ-9TmL2XDY?authuser=0&hl=en&rclk=1,"
+1 424-419-2407",http://www.almondobgyn.com/?utm_campaign=gmb
Marina OB/GYN,"4.9
(91)","
4560 Admiralty Way #105, Marina Del Rey, CA 90292, United States",https://www.google.com/maps/place/Marina+OB%2FGYN/data=!4m7!3m6!1s0x80c2ba80d2a8b7e1:0x578704afe95e507f!8m2!3d33.9827069!4d-118.4416601!16s%2Fg%2F1v2kxq0k!19sChIJ4beo0oC6woARf1Be6a8Eh1c?authuser=0&hl=en&rclk=1,"
+1 310-694-5255",http://www.marinaobgyn.com/?utm_source=gmb_auth
Pasadena Women’s Medical Group,"4.2
(413)","
4560 Admiralty Way #105, Marina Del Rey, CA 90292, United States",https://www.google.com/maps/place/Pasadena+Women%E2%80%99s+Medical+Group/data=!4m7!3m6!1s0x80c2c4826bae6097:0xe6edf1e524487db2!8m2!3d34.1313817!4d-118.1517523!16s%2Fg%2F1tfrs5rd!19sChIJl2Cua4LEwoARsn1IJOXx7eY?authuser=0&hl=en&rclk=1,"
+1 626-796-9114",
"Thais Aliabadi, MD, OB-GYN","5.0
(30)",,"https://www.google.com/maps/place/Thais+Aliabadi,+MD,+OB-GYN/data=!4m7!3m6!1s0x80c2b94d44a3d1cd:0x9ec0e18666661d94!8m2!3d34.0692905!4d-118.4051458!16s%2Fg%2F1v76zy2j!19sChIJzdGjRE25woARlB1mZobhwJ4?authuser=0&hl=en&rclk=1","
+1 310-652-5052",https://www.draliabadi.com/?utm_source=GMB&utm_medium=ThaisAliabadiMD
