Title,Rating,Address,Directions,Contact,Web Link
Eye Institute of California,"4.8
(281)","
311 Del Mar Ave, Chula Vista, CA 91910, United States",https://www.google.com/maps/place/Eye+Institute+of+California/data=!4m7!3m6!1s0x80d94de22b719485:0x61c493b31b6a5646!8m2!3d32.6414555!4d-117.0774315!16s%2Fg%2F1td0t529!19sChIJhZRxK-JN2YARRlZqG7OTxGE?authuser=0&hl=en&rclk=1,"
+1 619-427-3355",
SOUTHERN CALIFORNIA EYE INSTITUTE,"4.8
(281)",,https://www.google.com/maps/place/SOUTHERN+CALIFORNIA+EYE+INSTITUTE/data=!4m7!3m6!1s0x80c2c7c44bcf6625:0xe29e1c5b871ab685!8m2!3d34.0963187!4d-118.2903056!16s%2Fg%2F11h0bydl_v!19sChIJJWbPS8THwoARhbYah1scnuI?authuser=0&hl=en&rclk=1,"
+1 833-270-3937",https://sceyes.org/
"California Eye Specialists Medical Group, Inc.","4.8
(275)","
1300 North Vermont Avenue, Doctors Tower, Ste 101, Los Angeles, CA 90027, United States","https://www.google.com/maps/place/California+Eye+Specialists+Medical+Group,+Inc./data=!4m7!3m6!1s0x80c326341b7de8b3:0xf583438d449c3423!8m2!3d34.1347698!4d-117.8718362!16s%2Fg%2F1tf7mv7x!19sChIJs-h9GzQmw4ARIzScRI1Dg_U?authuser=0&hl=en&rclk=1","
+1 626-335-2114",http://www.californiaeyespecialists.com/
Vision Specialists of California,"4.7
(477)","
233 Lewis St, San Diego, CA 92103, United States",https://www.google.com/maps/place/Vision+Specialists+of+California/data=!4m7!3m6!1s0x80d95509ff26e08d:0x3d9c6ba66fc4e686!8m2!3d32.7517472!4d-117.1625615!16s%2Fg%2F11nfz2ckk5!19sChIJjeAm_wlV2YARhubEb6ZrnD0?authuser=0&hl=en&rclk=1,"
+1 619-501-9050",http://myvisionexpert.com/
California Eye Associates: Kurteeva Katerina MD,"5.0
(193)",,https://www.google.com/maps/place/California+Eye+Associates:+Kurteeva+Katerina+MD/data=!4m7!3m6!1s0x80dd200956f43bd1:0x3760aab310aa8577!8m2!3d33.6135183!4d-117.8696232!16s%2Fg%2F1tg5zymv!19sChIJ0Tv0Vgkg3YARd4WqELOqYDc?authuser=0&hl=en&rclk=1,"
+1 949-760-9007",https://www.drkurteeva.com/
Retina Institute of California & Acuity Eye Group - Garden Grove,"5.0
(118)","
1441 Avocado Ave #206, Newport Beach, CA 92660, United States",https://www.google.com/maps/place/Retina+Institute+of+California+%26+Acuity+Eye+Group+-+Garden+Grove/data=!4m7!3m6!1s0x80dcd98d62bbd92b:0x70c9d8c228e0a411!8m2!3d33.776587!4d-117.9152634!16s%2Fg%2F11mtfv4vfz!19sChIJK9m7Yo3Z3IAREaTgKMLYyXA?authuser=0&hl=en&rclk=1,"
+1 714-534-8100",https://www.acuityeyegroup.com/locations/detail/33/retina-institute-garden-grove
Pacific Eye Institute - Upland,"4.6
(190)",,https://www.google.com/maps/place/Pacific+Eye+Institute+-+Upland/data=!4m7!3m6!1s0x80c336af31c6a1df:0x8c843812599a739f!8m2!3d34.1004425!4d-117.6338374!16s%2Fg%2F1tgwmznk!19sChIJ36HGMa82w4ARn3OaWRI4hIw?authuser=0&hl=en&rclk=1,"
+1 909-982-8846",https://www.pacificeyemd.com/?y_source=1_MTEyNTA1ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Redwood Eye Center,"4.7
(976)",,https://www.google.com/maps/place/Redwood+Eye+Center/data=!4m7!3m6!1s0x80857326bef7e93d:0xed15232d6fe608e1!8m2!3d38.1230418!4d-122.2244965!16s%2Fg%2F1thln902!19sChIJPen3viZzhYAR4Qjmby0jFe0?authuser=0&hl=en&rclk=1,"
+1 707-553-8222",http://redwoodeyecenter.com/
Southern California Eye Consultants,"4.9
(442)","
16311 Ventura Blvd #750, Encino, CA 91436, United States",https://www.google.com/maps/place/Southern+California+Eye+Consultants/data=!4m7!3m6!1s0x80dcd9d009c3fab3:0x21830004664590d9!8m2!3d33.8419481!4d-117.8323677!16s%2Fg%2F1pty6hrc5!19sChIJs_rDCdDZ3IAR2ZBFZgQAgyE?authuser=0&hl=en&rclk=1,"
+1 714-771-2020",https://southcaleye.com/
SoCal Eye - Long Beach,"4.8
(99)",,https://www.google.com/maps/place/SoCal+Eye+-+Long+Beach/data=!4m7!3m6!1s0x80dd32e156015a29:0x2d660558201233ce!8m2!3d33.8597136!4d-118.15357!16s%2Fg%2F1tfc29zr!19sChIJKVoBVuEy3YARzjMSIFgFZi0?authuser=0&hl=en&rclk=1,"
+1 562-531-2020",http://www.socaleye.com/
