Title,Rating,Address,Directions,Contact,Web Link
Los Angeles Orthopedic Surgery Specialists,"4.9
(835)","
1127 Wilshire Blvd #408, Los Angeles, CA 90017, United States",https://www.google.com/maps/place/Los+Angeles+Orthopedic+Surgery+Specialists/data=!4m7!3m6!1s0x80c2c6577ee808eb:0xdf08c92563290e21!8m2!3d34.053053!4d-118.264003!16s%2Fg%2F11b6lgbyd2!19sChIJ6wjoflfGwoARIQ4pYyXJCN8?authuser=0&hl=en&rclk=1,"
+1 323-271-4173",https://laorthos.com/
California Pacific Orthopaedics,"4.9
(835)","
3838 California St # 715, San Francisco, CA 94118, United States",https://www.google.com/maps/place/California+Pacific+Orthopaedics/data=!4m7!3m6!1s0x808587308490dd91:0xa05ffd56a72c5a56!8m2!3d37.7861806!4d-122.4576078!16s%2Fg%2F11g_v2kz4!19sChIJkd2QhDCHhYARVlosp1b9X6A?authuser=0&hl=en&rclk=1,"
+1 415-668-8010",http://www.calpacortho.com/?utm_source=GMBSocialClimb&utm_medium=CaliforniaPacificOrthopaedics
California Pacific Orthopaedics - San Rafael,,"
1099 D St Suite 105, San Rafael, CA 94901, United States",https://www.google.com/maps/place/California+Pacific+Orthopaedics+-+San+Rafael/data=!4m7!3m6!1s0x80859a75408442d3:0xfe238a6c216186f9!8m2!3d37.9742345!4d-122.5321793!16s%2Fg%2F1tj1s9my!19sChIJ00KEQHWahYAR-YZhIWyKI_4?authuser=0&hl=en&rclk=1,"
+1 415-668-8010",https://calpacortho.com/?utm_source=GMBSocialClimb&utm_medium=CaliforniaPacificOrthopaedics-SanRafael
Pacific Crest Orthopedics - IASM,,"
3000 California St 3rd Floor, San Francisco, CA 94115, United States",https://www.google.com/maps/place/Pacific+Crest+Orthopedics+-+IASM/data=!4m7!3m6!1s0x808580c6f54af7f9:0x1576f9cd1c720d42!8m2!3d37.787834!4d-122.4439957!16s%2Fg%2F1tdvpzk_!19sChIJ-fdK9caAhYARQg1yHM35dhU?authuser=0&hl=en&rclk=1,"
+1 415-923-0944",https://www.iasm.com/
Los Angeles Orthopedic Surgery Specialists,"4.9
(604)","
12215 Telegraph Rd Suite 112, Santa Fe Springs, CA 90670, United States",https://www.google.com/maps/place/Los+Angeles+Orthopedic+Surgery+Specialists/data=!4m7!3m6!1s0x80c2d39434afcf7d:0x170d0d046543dfb4!8m2!3d33.9424858!4d-118.0722579!16s%2Fg%2F11rz91_94l!19sChIJfc-vNJTTwoARtN9DZQQNDRc?authuser=0&hl=en&rclk=1,"
+1 562-548-2230",https://www.laorthos.com/
California Orthopaedic Institute,"4.9
(1,192)","
7485 Mission Valley Rd #104a, San Diego, CA 92108, United States",https://www.google.com/maps/place/California+Orthopaedic+Institute/data=!4m7!3m6!1s0x80d95547bf228f81:0xfd93db882480b67b!8m2!3d32.7793195!4d-117.1603142!16s%2Fg%2F1vy7gw5z!19sChIJgY8iv0dV2YARe7aAJIjbk_0?authuser=0&hl=en&rclk=1,"
+1 619-291-8930",http://www.califortho.com/
"Orthopaedic Associates Medical Clinic, Inc.","3.3
(77)","
820 S Akers St STE 220, Visalia, CA 93277, United States","https://www.google.com/maps/place/Orthopaedic+Associates+Medical+Clinic,+Inc./data=!4m7!3m6!1s0x80952620186ee6d5:0xe055edc91e87f2b6!8m2!3d36.3234616!4d-119.3491719!16s%2Fg%2F11c59y0dyk!19sChIJ1eZuGCAmlYARtvKHHsntVeA?authuser=0&hl=en&rclk=1","
+1 559-733-3346",http://www.thebonesurgeons.com/
Los Angeles Orthopedic Surgery Specialists,,"
1700 E Cesar E Chavez Ave #2200, Los Angeles, CA 90033, United States",https://www.google.com/maps/place/Los+Angeles+Orthopedic+Surgery+Specialists/data=!4m7!3m6!1s0x80c2c60d892b7ea3:0xc623aaeba3fd902d!8m2!3d34.0508872!4d-118.2175287!16s%2Fg%2F1td8zd44!19sChIJo34riQ3GwoARLZD9o-uqI8Y?authuser=0&hl=en&rclk=1,"
+1 323-264-7600",https://www.laorthos.com/?utm_source=gmb_auth
Los Angeles Orthopedic Surgery Specialists,"4.9
(2,393)","
1700 E Cesar E Chavez Ave #2200, Los Angeles, CA 90033, United States",https://www.google.com/maps/place/Los+Angeles+Orthopedic+Surgery+Specialists/data=!4m7!3m6!1s0x80c299083d2c699b:0x92d291484d61f21b!8m2!3d34.1718343!4d-118.5443794!16s%2Fg%2F12mjrt1mk!19sChIJm2ksPQiZwoARG_JhTUiR0pI?authuser=0&hl=en&rclk=1,"
+1 818-708-3333",https://www.laorthos.com/
Los Angeles Orthopedic Surgery Specialists,"4.9
(673)","
1270 E Spruce Ave, Fresno, CA 93720, United States",https://www.google.com/maps/place/Los+Angeles+Orthopedic+Surgery+Specialists/data=!4m7!3m6!1s0x80c2871530e23db1:0x2df862630aacfa2d!8m2!3d34.3791081!4d-118.5451393!16s%2Fg%2F11nngj3fx1!19sChIJsT3iMBWHwoARLfqsCmNi-C0?authuser=0&hl=en&rclk=1,"
+1 818-928-0002",https://www.laorthos.com/?utm_source=gmb_auth
