Title,Rating,Address,Directions,Contact,Web Link
California Kids Pediatrics,"4.6
(22)","
2990 S Sepulveda Blvd UNIT 202, Los Angeles, CA 90064, United States",https://www.google.com/maps/place/California+Kids+Pediatrics/data=!4m7!3m6!1s0x80c2bbae1ac1f6bf:0xfdf036a12f8a4832!8m2!3d34.0277124!4d-118.4286824!16s%2Fg%2F1tcvpjkp!19sChIJv_bBGq67woARMkiKL6E28P0?authuser=0&hl=en&rclk=1,"
+1 424-277-2020",https://www.calkidspeds.com/
California Pediatric Care,"4.6
(22)","
1920 N Garey Ave, Pomona, CA 91767, United States",https://www.google.com/maps/place/California+Pediatric+Care/data=!4m7!3m6!1s0x80c32e112f28e067:0x6f1f4da35210e7b9!8m2!3d34.0809775!4d-117.7523667!16s%2Fg%2F11b6ztnkh5!19sChIJZ-AoLxEuw4ARuecQUqNNH28?authuser=0&hl=en&rclk=1,"
+1 909-622-1235",https://www.californiapediatriccare.com/california-pediatric-care
"Children's Choice Pediatrics, Upland. Rene Salhab, MD","4.5
(224)","
510 N 13th Ave #201, Upland, CA 91786, United States","https://www.google.com/maps/place/Children%27s+Choice+Pediatrics,+Upland.+Rene+Salhab,+MD/data=!4m7!3m6!1s0x80c336af357897a5:0xa33b03fe77a54f2a!8m2!3d34.1003639!4d-117.6332476!16s%2Fg%2F11d__p27vr!19sChIJpZd4Na82w4ARKk-ld_4DO6M?authuser=0&hl=en&rclk=1","
+1 909-931-1313",http://www.ccpeds4.com/
"Children's Choice Pediatrics & Pediatric Urgent Clinic, Rancho Cucamonga. Rene Salhab MD",,"
8112 Milliken Ave STE 201, Rancho Cucamonga, CA 91730, United States","https://www.google.com/maps/place/Children%27s+Choice+Pediatrics+%26+Pediatric+Urgent+Clinic,+Rancho+Cucamonga.+Rene+Salhab+MD/data=!4m7!3m6!1s0x80c336461dbaa85b:0xcd978078045d386!8m2!3d34.10493!4d-117.557478!16s%2Fg%2F1hc8ld9nt!19sChIJW6i6HUY2w4ARhtNFgAd42Qw?authuser=0&hl=en&rclk=1","
+1 909-466-7337",http://www.ccpeds4.com/
California Pediatric Care,,"
1230 E Arrow Hwy, Upland, CA 91786, United States",https://www.google.com/maps/place/California+Pediatric+Care/data=!4m7!3m6!1s0x80c336a92da55555:0x7331319b2cd31d6d!8m2!3d34.0994989!4d-117.6352709!16s%2Fg%2F11f6dlgtz3!19sChIJVVWlLak2w4ARbR3TLJsxMXM?authuser=0&hl=en&rclk=1,"
+1 909-622-1235",https://www.californiapediatriccare.com/california-pediatric-care
"MIRACLE MILE PEDIATRICS, Inc.","4.5
(99)","
6310 San Vicente Blvd #290, Los Angeles, CA 90048, United States","https://www.google.com/maps/place/MIRACLE+MILE+PEDIATRICS,+Inc./data=!4m7!3m6!1s0x80c2b93eab474ff5:0x86e39fddf03113e5!8m2!3d34.0604185!4d-118.367795!16s%2Fg%2F1hc2f8085!19sChIJ9U9Hqz65woAR5RMx8N2f44Y?authuser=0&hl=en&rclk=1","
+1 323-938-7294",https://www.miraclemilepediatrics.com/
San Marino Pediatrics Associates,"4.8
(195)","
375 Huntington Dr f, San Marino, CA 91108, United States",https://www.google.com/maps/place/San+Marino+Pediatrics+Associates/data=!4m7!3m6!1s0x80c2c4c29b12fd19:0x69e0c3cb4ef57d9e!8m2!3d34.1068271!4d-118.1353443!16s%2Fg%2F1ptvz0q8p!19sChIJGf0Sm8LEwoARnn31TsvD4Gk?authuser=0&hl=en&rclk=1,"
+1 626-270-1580",https://sanmarinopeds.com/
Pacific Coast Pediatrics,,"
260 San Jose St, Salinas, CA 93901, United States",https://www.google.com/maps/place/Pacific+Coast+Pediatrics/data=!4m7!3m6!1s0x808df88a06b25b0b:0xf3219ae263d227d1!8m2!3d36.65767!4d-121.645792!16s%2Fg%2F1tmz74sh!19sChIJC1uyBor4jYAR0SfSY-KaIfM?authuser=0&hl=en&rclk=1,"
+1 831-757-8124",http://www.pacpeds.com/
The Pediatric Group of Southern California,"4.8
(207)","
260 San Jose St, Salinas, CA 93901, United States",https://www.google.com/maps/place/The+Pediatric+Group+of+Southern+California/data=!4m7!3m6!1s0x80c299a7f5a82b17:0xba504acbe0a4ae2d!8m2!3d34.170389!4d-118.532956!16s%2Fg%2F11clwnk0pc!19sChIJFyuo9aeZwoARLa6k4MtKULo?authuser=0&hl=en&rclk=1,"
+1 818-996-6000",https://www.thepediatricgroup.net/Contact.html
Premier Pediatrics Beverly Hills,,"
8907 Wilshire Blvd #250, Beverly Hills, CA 90211, United States",https://www.google.com/maps/place/Premier+Pediatrics+Beverly+Hills/data=!4m7!3m6!1s0x80c2b9514149590b:0xc2cbe0bd4c0c9de2!8m2!3d34.0673001!4d-118.3859579!16s%2Fg%2F12602thrs!19sChIJC1lJQVG5woAR4p0MTL3gy8I?authuser=0&hl=en&rclk=1,"
+1 310-247-8687",http://www.premierpedsbh.com/
