Title,Rating,Address,Directions,Contact,Web Link
California Medical Pharmacy,"3.8
(30)","
2201 W Temple St, Los Angeles, CA 90026, United States",https://www.google.com/maps/place/California+Medical+Pharmacy/data=!4m7!3m6!1s0x80c2c70e0e44881f:0x4509bd1c8037fae!8m2!3d34.070931!4d-118.2696201!16s%2Fg%2F1tcw3wys!19sChIJH4hEDg7HwoARrn8DyNGbUAQ?authuser=0&hl=en&rclk=1,"
+1 213-413-2343",
California Specialty Pharmacy,"3.8
(30)",,https://www.google.com/maps/place/California+Specialty+Pharmacy/data=!4m7!3m6!1s0x80c2d39916e651e3:0xdf0f0ab4eb3f18cd!8m2!3d33.9824594!4d-118.0476266!16s%2Fg%2F1w04kcq6!19sChIJ41HmFpnTwoARzRg_67QKD98?authuser=0&hl=en&rclk=1,"
+1 562-698-6305",http://www.csprx.com/
Cal Oaks Pharmacy,"4.4
(81)","
55 E California Blvd # 103, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Cal+Oaks+Pharmacy/data=!4m7!3m6!1s0x80c2c37ce9ae5507:0xf6792619dd241053!8m2!3d34.1359327!4d-118.149369!16s%2Fg%2F1td00rn7!19sChIJB1Wu6XzDwoARUxAk3RkmefY?authuser=0&hl=en&rclk=1,"
+1 626-795-5956",https://stores.healthmart.com/caloakspharmacy/stores.aspx
Golden State Pharmacy,"4.6
(47)","
1617 N California St #1f, Stockton, CA 95204, United States",https://www.google.com/maps/place/Golden+State+Pharmacy/data=!4m7!3m6!1s0x80900dc50f9f7ef1:0xcf0865bc99aab7ea!8m2!3d37.969597!4d-121.289969!16s%2Fg%2F11fj5s121r!19sChIJ8X6fD8UNkIAR6reqmbxlCM8?authuser=0&hl=en&rclk=1,"
+1 209-420-1720",
Selma Pharmacy,"4.9
(71)",,https://www.google.com/maps/place/Selma+Pharmacy/data=!4m7!3m6!1s0x8094f180f00c1b9d:0xc75c8037f5f774f6!8m2!3d36.5705347!4d-119.6134897!16s%2Fg%2F11k1ntj6bb!19sChIJnRsM8IDxlIAR9nT39TeAXMc?authuser=0&hl=en&rclk=1,"
+1 559-318-9646",http://www.selmapharmacy.com/
Pharmacy of the Desert,"4.9
(70)",,https://www.google.com/maps/place/Pharmacy+of+the+Desert/data=!4m7!3m6!1s0x80daf8ff84ccc3a9:0xcbe1e8282c25e244!8m2!3d33.7086806!4d-116.2784406!16s%2Fg%2F11cn9sb4rg!19sChIJqcPMhP_42oARROIlLCjo4cs?authuser=0&hl=en&rclk=1,"
+1 760-777-1115",http://www.pharmacyofthedesert.com/
Cal-Med Pharmacy,,"
1414 S Grand Ave, Los Angeles, CA 90015, United States",https://www.google.com/maps/place/Cal-Med+Pharmacy/data=!4m7!3m6!1s0x80c2c7c5e5b4d96f:0x4a5a36b083052398!8m2!3d34.0364573!4d-118.2653738!16s%2Fg%2F1txc7978!19sChIJb9m05cXHwoARmCMFg7A2Wko?authuser=0&hl=en&rclk=1,"
+1 213-746-4677",
CVS Pharmacy,"4.3
(4)",,https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x809940d0ddc53335:0x8424550f254f1065!8m2!3d39.5151762!4d-119.8280865!16s%2Fg%2F11c463qg3x!19sChIJNTPF3dBAmYARZRBPJQ9VJIQ?authuser=0&hl=en&rclk=1,"
+1 775-323-0701",https://www.cvs.com/store-locator/reno-nv-pharmacies/1119-california-ave-reno-nv-89509/storeid=9168?WT.mc_id=LS_GOOGLE_RX_9168
CalOaks 3 Pharmacy,"3.4
(18)",,https://www.google.com/maps/place/CalOaks+3+Pharmacy/data=!4m7!3m6!1s0x80c2db350a29976f:0x67f3bfd728a317bd!8m2!3d34.1202909!4d-118.1095257!16s%2Fg%2F1q4km1fcz!19sChIJb5cpCjXbwoARvRejKNe_82c?authuser=0&hl=en&rclk=1,"
+1 626-382-2580",https://stores.healthmart.com/caloaksiiihmpharmacy/stores.aspx
Cajon Pharmacy,"4.7
(21)",,https://www.google.com/maps/place/Cajon+Pharmacy/data=!4m7!3m6!1s0x80dcaa0ee7695561:0x9c5306cd3e438209!8m2!3d34.0525223!4d-117.1808697!16s%2Fg%2F1hhh0yw7z!19sChIJYVVp5w6q3IARCYJDPs0GU5w?authuser=0&hl=en&rclk=1,"
+1 909-792-4922",https://stores.healthmart.com/cajonpharmacy/stores.aspx
CVS Pharmacy,"5.0
(75)","
232 Cajon St, Redlands, CA 92373, United States",https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x808fb7337e732ed3:0x16fa9c16cce5a989!8m2!3d37.392128!4d-122.080999!16s%2Fg%2F119wn4m_7!19sChIJ0y5zfjO3j4ARianlzBac-hY?authuser=0&hl=en&rclk=1,"
+1 650-691-4004",https://www.cvs.com/store-locator/mountain-view-ca-pharmacies/850-california-st-mountain-view-ca-94041/storeid=7774?WT.mc_id=LS_GOOGLE_RX_7774
Go To Pharmacy RX,"2.5
(28)",,https://www.google.com/maps/place/Go+To+Pharmacy+RX/data=!4m7!3m6!1s0x80c29736d5180da9:0x68e6239d7bc774!8m2!3d34.1791899!4d-118.3972003!16s%2Fg%2F11fphksc1y!19sChIJqQ0Y1TaXwoARdMd7nSPmaAA?authuser=0&hl=en&rclk=1,"
+1 818-850-7010",https://gotopharmacy.co/
My Pharmacist On Call,"5.0
(5)","
5961 Laurel Canyon Blvd #2, North Hollywood, CA 91607, United States",https://www.google.com/maps/place/My+Pharmacist+On+Call/data=!4m7!3m6!1s0x80c2cf4dfe9f0dc5:0x68d3b6d1f329e41e!8m2!3d34.0271986!4d-118.200295!16s%2Fg%2F11btwqp1dr!19sChIJxQ2f_k3PwoARHuQp89G202g?authuser=0&hl=en&rclk=1,"
+1 323-263-8617",
Central Avenue Pharmacy,"4.9
(228)",,https://www.google.com/maps/place/Central+Avenue+Pharmacy/data=!4m7!3m6!1s0x80c2c0522e2d651f:0x138daa97e62c67db!8m2!3d34.1500647!4d-118.2561444!16s%2Fg%2F1tyzz7sn!19sChIJH2UtLlLAwoAR22cs5peqjRM?authuser=0&hl=en&rclk=1,"
+1 818-242-8838",
Garfield Prescription Pharmacy,"4.7
(49)","
4700 Panama Ln #116, Bakersfield, CA 93313, United States",https://www.google.com/maps/place/Garfield+Prescription+Pharmacy/data=!4m7!3m6!1s0x80c2b82eb74c910f:0x1e05fefbb37499f8!8m2!3d34.0089344!4d-118.3391709!16s%2Fg%2F1tkbyg_c!19sChIJD5FMty64woAR-Jl0s_v-BR4?authuser=0&hl=en&rclk=1,"
+1 323-295-5585",
Walgreens Pharmacy,"4.0
(16)","
3756 Santa Rosalia Dr, Los Angeles, CA 90008, United States",https://www.google.com/maps/place/Walgreens+Pharmacy/data=!4m7!3m6!1s0x80858731465e419d:0x66adc247a1052bc1!8m2!3d37.7862875!4d-122.4535204!16s%2Fg%2F11gcdqjx_s!19sChIJnUFeRjGHhYARwSsFoUfCrWY?authuser=0&hl=en&rclk=1,"
+1 415-668-5202",https://www.walgreens.com/locator/walgreens-3601+california+st-san+francisco-ca-94118/id=896
