Title,Rating,Address,Directions,Contact,Web Link
Cal Oaks Primary Care,,"
40700 California Oaks Rd #207, Murrieta, CA 92562, United States",https://www.google.com/maps/place/Cal+Oaks+Primary+Care/data=!4m7!3m6!1s0x80dc833fa90821e9:0xfc6c1afa4c00a385!8m2!3d33.5702772!4d-117.2032579!16s%2Fg%2F11gyc459q_!19sChIJ6SEIqT-D3IARhaMATPoabPw?authuser=0&hl=en&rclk=1,"
+1 951-412-0011",https://caloaksprimarycare.com/
Rancho Family Medical Group- Murrieta,"5.0
(46)",,https://www.google.com/maps/place/Rancho+Family+Medical+Group-+Murrieta/data=!4m7!3m6!1s0x80dc825b00000001:0xd440af8c52239b5b!8m2!3d33.5669782!4d-117.2069331!16s%2Fg%2F11gy6jgd1g!19sChIJAQAAAFuC3IARW5sjUoyvQNQ?authuser=0&hl=en&rclk=1,"
+1 951-225-6287",https://ranchofamilymed.com/cal-oaks/?UTM_source=GMB_listing&UTM_medium=organic
California Specialty Physicians,"4.7
(256)","
995 Montague Expressway #218, 995 County Hwy G4 STE 218, Milpitas, CA 95035, United States",https://www.google.com/maps/place/California+Specialty+Physicians/data=!4m7!3m6!1s0x808fcd0528d6076d:0xf3a1c306723d336b!8m2!3d37.414063!4d-121.8848811!16s%2Fg%2F1tpps61r!19sChIJbQfWKAXNj4ARazM9cgbDofM?authuser=0&hl=en&rclk=1,"
+1 408-942-0300",http://www.cphysicians.com/
Cesar Palana MD | CPMD Internal Medicine,"4.3
(38)","
4160 Wilshire Blvd #302, Los Angeles, CA 90010, United States",https://www.google.com/maps/place/Cesar+Palana+MD+%7C+CPMD+Internal+Medicine/data=!4m7!3m6!1s0x80c2d7c630f024ab:0xd8f2853e444269bc!8m2!3d34.0614254!4d-118.3183898!16s%2Fg%2F11c0xntpmr!19sChIJqyTwMMbXwoARvGlCRD6F8tg?authuser=0&hl=en&rclk=1,"
+1 323-457-3787",http://www.cdocgroup.com/
"California Functional Internal Medicine Clinic: Mohammed Ansari, MD","4.9
(63)","
23120 Alicia Pkwy Suite 216, Mission Viejo, CA 92692, United States","https://www.google.com/maps/place/California+Functional+Internal+Medicine+Clinic:+Mohammed+Ansari,+MD/data=!4m7!3m6!1s0x80dce98af7a48fc9:0x78ca78eaba1e5cc3!8m2!3d33.6273828!4d-117.650478!16s%2Fg%2F11y3s79ly9!19sChIJyY-k94rp3IARw1weuup4yng?authuser=0&hl=en&rclk=1","
+1 949-339-5272",https://www.cfimclinic.com/
Dr. Diego Allende D.O.,"5.0
(10)","
6234 N First St, Fresno, CA 93710, United States",https://www.google.com/maps/place/Dr.+Diego+Allende+D.O./data=!4m7!3m6!1s0x80945d45d3b4155b:0x36ae7049fab94b5a!8m2!3d36.8270481!4d-119.7720069!16s%2Fg%2F1hc6pjp9x!19sChIJWxW000VdlIARWku5-klwrjY?authuser=0&hl=en&rclk=1,"
+1 559-435-5727",http://www.theallendecentre.com/?utm_source=gmb_auth
Physicians of Southern California Inc,"4.7
(233)","
1304 W Holt Blvd Suite A, Ontario, CA 91762, United States",https://www.google.com/maps/place/Physicians+of+Southern+California+Inc/data=!4m7!3m6!1s0x80c3335f9917e215:0xcd4f36f0e67bef5!8m2!3d34.063683!4d-117.6748808!16s%2Fg%2F11r9bq0xqx!19sChIJFeIXmV8zw4AR9b5nDm_z1Aw?authuser=0&hl=en&rclk=1,"
+1 626-859-2249",https://physiciansofsoutherncalifornia.com/
"California Coast Physicians, Inc.","4.2
(6)","
2486 N Ponderosa Dr d114, Camarillo, CA 93010, United States","https://www.google.com/maps/place/California+Coast+Physicians,+Inc./data=!4m7!3m6!1s0x80e84c11280c92c9:0xb40188cae192c9ae!8m2!3d34.2429187!4d-119.0216006!16s%2Fg%2F11rkj97j1s!19sChIJyZIMKBFM6IARrsmS4cqIAbQ?authuser=0&hl=en&rclk=1","
+1 805-983-0425",http://californiacoastphysicians.org/
First California Physician Partners,,"
11180 Warner Ave Suite 167, Fountain Valley, CA 92708, United States",https://www.google.com/maps/place/First+California+Physician+Partners/data=!4m7!3m6!1s0x80dd274eb0d94031:0x89b52ad5b1307f19!8m2!3d33.7154261!4d-117.9332755!16s%2Fg%2F11fb0w0g9k!19sChIJMUDZsE4n3YARGX8wsdUqtYk?authuser=0&hl=en&rclk=1,"
+1 714-842-8889",
California Family Physician,"5.0
(1)","
11180 Warner Ave Suite 167, Fountain Valley, CA 92708, United States",https://www.google.com/maps/place/California+Family+Physician/data=!4m7!3m6!1s0x80c2cd9eb60bc7f5:0x37ccd893d5dad531!8m2!3d33.9318973!4d-118.1391132!16s%2Fg%2F1tdbr3_r!19sChIJ9ccLtp7NwoARMdXa1ZPYzDc?authuser=0&hl=en&rclk=1,"
+1 562-869-1121",
Primary Care: Adventist Health Tehachapi Valley,"5.0
(2)",,https://www.google.com/maps/place/Primary+Care:+Adventist+Health+Tehachapi+Valley/data=!4m7!3m6!1s0x80c22d1b6fd32567:0xd70fd1786e56c93!8m2!3d35.1329586!4d-117.9619914!16s%2Fg%2F11n5spmp82!19sChIJZyXTbxstwoARk2zlhhf9cA0?authuser=0&hl=en&rclk=1,"
+1 661-771-8222",https://adventisthealth.org/locations/detail/primary-care-adventist-health-tehachapi-valley-4408/
"Dr. Earl D. Fernando, MD","4.5
(96)",,"https://www.google.com/maps/place/Dr.+Earl+D.+Fernando,+MD/data=!4m7!3m6!1s0x80945d76cf50c6c5:0x3ff55294b5c87276!8m2!3d36.803768!4d-119.7726015!16s%2Fg%2F11ckqqnd_v!19sChIJxcZQz3ZdlIARdnLItZRS9T8?authuser=0&hl=en&rclk=1","
+1 559-721-5185",
Allied Physicians of Ca,"4.3
(13)",,https://www.google.com/maps/place/Allied+Physicians+of+Ca/data=!4m7!3m6!1s0x80c2c548603f3535:0x56f18e8d3be50ac6!8m2!3d34.0750638!4d-118.1227217!16s%2Fg%2F1261mygjf!19sChIJNTU_YEjFwoARxgrlO42O8VY?authuser=0&hl=en&rclk=1,"
+1 626-282-0288",http://www.alliedipa.com/
The DO Doctors,"5.0
(238)","
255 Herndon Ave Suite 102, Clovis, CA 93612, United States",https://www.google.com/maps/place/The+DO+Doctors/data=!4m7!3m6!1s0x80db65e3645f9807:0x8838bcb98d0cf3e!8m2!3d33.7472053!4d-116.9990974!16s%2Fg%2F11fqtm2ss_!19sChIJB5hfZONl24ARPs_QmMuLgwg?authuser=0&hl=en&rclk=1,"
+1 951-925-3635",http://thedodoctors.com/
