Title,Rating,Address,Directions,Contact,Web Link
Advanced Psychiatry Associates,"4.8
(382)","
1101 Maidu Dr, Auburn, CA 95603, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809b1baff3212a53:0x1810fe6ed31e0b55!8m2!3d38.8759875!4d-121.0798624!16s%2Fg%2F11t4550w3y!19sChIJUyoh868bm4ARVQse027-EBg?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/auburn/?utm_source=google&utm_medium=organic&utm_campaign=gmb_auburn&utm_content=auburn
Pacific Neuropsychiatric Specialists (PNS),,"
302 W La Veta Ave Ste. 202, Orange, CA 92866, United States",https://www.google.com/maps/place/Pacific+Neuropsychiatric+Specialists+%28PNS%29/data=!4m7!3m6!1s0x80dcd91375e9f9ef:0x1b1590ff493a959f!8m2!3d33.7802651!4d-117.8554855!16s%2Fg%2F11h07h9789!19sChIJ7_npdRPZ3IARn5U6Sf-QFRs?authuser=0&hl=en&rclk=1,"
+1 714-545-5550",https://www.pnsoc.com/
Advanced Psychiatry Associates,"4.7
(652)","
2955 Main St Suite #110-K, Irvine, CA 92614, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x80dcdf835cdad801:0x2c88ef1def0a5eb3!8m2!3d33.6799247!4d-117.8363223!16s%2Fg%2F11j_15psnc!19sChIJAdjaXIPf3IARs14K7x3viCw?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/irvine/?utm_source=google&utm_medium=organic&utm_campaign=gmb_irvine&utm_content=irvine
Advanced Psychiatry Associates,"4.9
(161)",,https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809ae69e6235c447:0x109d6af9bfb936df!8m2!3d38.657076!4d-121.1738551!16s%2Fg%2F1thcn0cn!19sChIJR8Q1Yp7mmoAR3za5v_lqnRA?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/folsom/
Advanced Psychiatry Associates,"4.7
(3,334)","
2386 Fair Oaks Blvd, Sacramento, CA 95825, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809adbf979569349:0x320d0bbc21938b49!8m2!3d38.5734186!4d-121.406754!16s%2Fg%2F11fnyn0z1v!19sChIJSZNWefnbmoARSYuTIbwLDTI?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/?utm_source=localfx&utm_medium=organic&utm_campaign=localfx&utm_content=sacramento
Harbor Psychiatry & Mental Health,"4.5
(694)","
4631 Teller Ave suite 100, Newport Beach, CA 92660, United States",https://www.google.com/maps/place/Harbor+Psychiatry+%26+Mental+Health/data=!4m7!3m6!1s0x80dcdfd5c0c26519:0xe76005e97c7f943c!8m2!3d33.6673156!4d-117.8582953!16s%2Fg%2F11frtr0j9b!19sChIJGWXCwNXf3IARPJR_fOkFYOc?authuser=0&hl=en&rclk=1,"
+1 949-887-7187",https://harbormentalhealth.com/
Advanced Psychiatry Associates,"4.7
(994)","
1652 W Texas St Ste #220, Fairfield, CA 94533, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x80851584e7b1c78b:0x16ff5cdd088da74a!8m2!3d38.249648!4d-122.0578732!16s%2Fg%2F11twccl3wg!19sChIJi8ex54QVhYARSqeNCN1c_xY?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/fairfield/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fairfield
Advanced Psychiatry Associates,"4.7
(188)","
1501 W Cameron Ave #300-129, West Covina, CA 91790, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x80c2d719a4ae3335:0x80bd99171b53f9e4!8m2!3d34.0684888!4d-117.9411743!16s%2Fg%2F11k3g8_66r!19sChIJNTOupBnXwoAR5PlTGxeZvYA?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/west-covina/?utm_source=google&utm_medium=organic&utm_campaign=GMB_West_Covina
The Happiness Psychiatrist: Sheenie Ambardar MD | Concierge Psychiatrist | Los Angeles,,,https://www.google.com/maps/place/The+Happiness+Psychiatrist:+Sheenie+Ambardar+MD+%7C+Concierge+Psychiatrist+%7C+Los+Angeles/data=!4m7!3m6!1s0x80c2beae861ce52d:0x7a0449067d784a50!8m2!3d34.0839367!4d-118.3324161!16s%2Fg%2F11h0znbjy!19sChIJLeUchq6-woARUEp4fQZJBHo?authuser=0&hl=en&rclk=1,"
+1 424-666-8058",https://www.happinesspsychiatrist.com/locations/los-angeles
Advanced Psychiatry Associates,,"
9381 E Stockton Blvd STE 220, Elk Grove, CA 95624, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809ac73d2efa0e5b:0xeb2fe897ceb4a3e2!8m2!3d38.4167703!4d-121.3911028!16s%2Fg%2F11r87ydfmh!19sChIJWw76Lj3HmoAR4qO0zpfoL-s?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/our-offices/elk-grove/?utm_source=google&utm_medium=organic&utm_campaign=gmb_elk-grove&utm_content=elk-grove
Regeneration Psychiatry - Redondo Beach Office,"4.6
(415)","
2512 Artesia Blvd #320, Redondo Beach, CA 90278, United States",https://www.google.com/maps/place/Regeneration+Psychiatry+-+Redondo+Beach+Office/data=!4m7!3m6!1s0x80c2b592009295cf:0x55317735e6656338!8m2!3d33.8726228!4d-118.3652448!16s%2Fg%2F11qfzrfhhv!19sChIJz5WSAJK1woAROGNl5jV3MVU?authuser=0&hl=en&rclk=1,"
+1 424-277-2899",https://www.regenerationpsych.com/
Healthy Mind Psychiatry,,"
27201 Tourney Rd #204, Valencia, CA 91355, United States",https://www.google.com/maps/place/Healthy+Mind+Psychiatry/data=!4m7!3m6!1s0x80c287ed6544cd8b:0xa71544da88a4df5b!8m2!3d34.416975!4d-118.577506!16s%2Fg%2F11qqq0hr8w!19sChIJi81EZe2HwoARW9-kiNpEFac?authuser=0&hl=en&rclk=1,"
+1 661-481-0022",https://www.healthymindpsychiatry.com/?utm_source=gmb_auth
Eagle View Psychiatry,,"
428 J St Suite 400, Sacramento, CA 95814, United States",https://www.google.com/maps/place/Eagle+View+Psychiatry/data=!4m7!3m6!1s0x809ad1433c01e92b:0x51a4d497697dea01!8m2!3d38.5819629!4d-121.5004546!16s%2Fg%2F11vl0sg24g!19sChIJK-kBPEPRmoARAep9aZfUpFE?authuser=0&hl=en&rclk=1,"
+1 916-999-1418",https://eagleviewpsychiatry.com/?utm_source=google_business_profile&utm_medium=organic
Psychiatrist Los Angeles,"5.0
(83)","
428 J St Suite 400, Sacramento, CA 95814, United States",https://www.google.com/maps/place/Psychiatrist+Los+Angeles/data=!4m7!3m6!1s0x8824d70470299ea5:0xb5241ecb8ac93bfb!8m2!3d34.0622434!4d-118.3208621!16s%2Fg%2F11vdjkrdjj!19sChIJpZ4pcATXJIgR-zvJisseJLU?authuser=0&hl=en&rclk=1,"
+1 213-261-0459",https://newutherapy.com/contact/?utm_source=Google_Maps&utm_campaign=Psychiatrist_LA_Country&utm_medium=organic&utm_term=Los_Angeles
Advanced Psychiatry Associates,"4.6
(350)","
26024 Acero, Mission Viejo, CA 92691, United States",https://www.google.com/maps/place/Advanced+Psychiatry+Associates/data=!4m7!3m6!1s0x809b1f122f5939a5:0xc41cb7caf8f3d38c!8m2!3d38.7425709!4d-121.2408713!16s%2Fg%2F11frc0t25p!19sChIJpTlZLxIfm4ARjNPz-Mq3HMQ?authuser=0&hl=en&rclk=1,"
+1 877-272-5818",https://advancedpsychiatryassociates.com/?utm_source=localfx&utm_medium=organic&utm_campaign=localfx&utm_content=roseville
