Title,Rating,Address,Directions,Contact,Web Link
RadNet Medical Imaging San Francisco,"4.7
(1,912)","
3440 California St, San Francisco, CA 94118, United States",https://www.google.com/maps/place/RadNet+Medical+Imaging+San+Francisco/data=!4m7!3m6!1s0x80858733ecdbd6c9:0x822238217f215fca!8m2!3d37.7869177!4d-122.4510935!16s%2Fg%2F1w2yzpbc!19sChIJydbb7DOHhYARyl8hfyE4IoI?authuser=0&hl=en&rclk=1,"
+1 415-922-6767",https://www.radnet.com/northern-california/locations/radnet-medical-imaging-san-francisco
Stockton Diagnostic Imaging California Street,"4.7
(1,912)","
2320 N California St, Stockton, CA 95204, United States",https://www.google.com/maps/place/Stockton+Diagnostic+Imaging+California+Street/data=!4m7!3m6!1s0x80900d6b933daacd:0x5a8b19015762e242!8m2!3d37.9750129!4d-121.289823!16s%2Fg%2F1tx15l_5!19sChIJzao9k2sNkIARQuJiVwEZi1o?authuser=0&hl=en&rclk=1,"
+1 209-466-2000",https://www.radnet.com/central-california/locations/stockton-diagnostic-imaging-california-street
Rancho Mirage Interventional Radiology and Imaging Center,"4.8
(2,836)","
35800 Bob Hope Dr STE 150A, Rancho Mirage, CA 92270, United States",https://www.google.com/maps/place/Rancho+Mirage+Interventional+Radiology+and+Imaging+Center/data=!4m7!3m6!1s0x80dafd4364f2bafb:0x8341eeddd1bce62e!8m2!3d33.7905469!4d-116.4053294!16s%2Fg%2F11b6dqhjxv!19sChIJ-7ryZEP92oARLua80d3uQYM?authuser=0&hl=en&rclk=1,"
+1 760-770-1920",https://www.radnet.com/coachella-valley/locations/rancho-mirage-interventional-radiology-and-imaging-center
Medical Imaging Center of Southern California,"4.8
(6,850)","
8727 Beverly Blvd B, West Hollywood, CA 90048, United States",https://www.google.com/maps/place/Medical+Imaging+Center+of+Southern+California/data=!4m7!3m6!1s0x80c2bf25869f9249:0xfb0d656e0c9ec62b!8m2!3d34.077107!4d-118.3813703!16s%2Fg%2F11j15hwt41!19sChIJSZKfhiW_woARK8aeDG5lDfs?authuser=0&hl=en&rclk=1,"
+1 424-355-0433",https://www.micsc.com/?utm_source=gmb_auth
Diagnostic Radiological Imaging Sacramento,"4.7
(5,739)","
79 Scripps Dr #100, Sacramento, CA 95825, United States",https://www.google.com/maps/place/Diagnostic+Radiological+Imaging+Sacramento/data=!4m7!3m6!1s0x809ada57ecdd4ec7:0x9e7e12d9c736cc88!8m2!3d38.5729685!4d-121.4103477!16s%2Fg%2F11btlzfgrh!19sChIJx07d7FfamoARiMw2x9kSfp4?authuser=0&hl=en&rclk=1,"
+1 916-921-1300",http://www.driradiology.com/locations/sacramento
Fresno Imaging Center,"4.7
(5,739)","
6191 N Thesta St, Fresno, CA 93710, United States",https://www.google.com/maps/place/Fresno+Imaging+Center/data=!4m7!3m6!1s0x80945d57597cfef7:0x9918b4a8e27649da!8m2!3d36.8262307!4d-119.7842684!16s%2Fg%2F1tcvznv0!19sChIJ9_58WVddlIAR2kl24qi0GJk?authuser=0&hl=en&rclk=1,"
+1 559-447-2600",https://www.radnet.com/central-california/locations/fresno-imaging-center
Imaging Specialists of Pasadena,"4.6
(5,748)","
630 S Raymond Ave #210, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Imaging+Specialists+of+Pasadena/data=!4m7!3m6!1s0x80c2c37d211b276f:0xe2eda44b59591446!8m2!3d34.135025!4d-118.1485214!16s%2Fg%2F1xn_nn9l!19sChIJbycbIX3DwoARRhRZWUuk7eI?authuser=0&hl=en&rclk=1,"
+1 626-356-0700",https://www.radnet.com/san-fernando-valley/locations/imaging-specialists-pasadena
Kern Radiology Women's Center,"4.7
(2,998)",,https://www.google.com/maps/place/Kern+Radiology+Women%27s+Center/data=!4m7!3m6!1s0x80ea69f52b3654b5:0xd5748df7df39d30b!8m2!3d35.3705508!4d-119.1124205!16s%2Fg%2F1tmy5c6_!19sChIJtVQ2K_Vp6oARC9M53_eNdNU?authuser=0&hl=en&rclk=1,"
+1 661-325-6800",https://www.radnet.com/kern-radiology/locations/kern-radiology-downtown
Arcadia Radiology Imaging,"4.8
(6,562)",,https://www.google.com/maps/place/Arcadia+Radiology+Imaging/data=!4m7!3m6!1s0x80c2dbb0766bec31:0x220ced89d676dd62!8m2!3d34.1261746!4d-118.052154!16s%2Fg%2F1tdftdsy!19sChIJMexrdrDbwoARYt121ontDCI?authuser=0&hl=en&rclk=1,"
+1 626-447-0035",https://www.radnet.com/san-gabriel-valley/locations/arcadia-womens-imaging-center
Valley Radiology Samaritan,"4.7
(4,351)","
612 W Duarte Rd # 101, Arcadia, CA 91007, United States",https://www.google.com/maps/place/Valley+Radiology+Samaritan/data=!4m7!3m6!1s0x808e35b293b69f45:0xbd9bc7a7266c25fe!8m2!3d37.2532106!4d-121.9492346!16s%2Fg%2F1td2h3zn!19sChIJRZ-2k7I1joAR_iVsJqfHm70?authuser=0&hl=en&rclk=1,"
+1 408-358-6881",https://www.radnet.com/northern-california/locations/valley-radiology-samaritan
Madison Radiology Advanced Imaging,"4.6
(5,682)","
2581 Samaritan Dr #100, San Jose, CA 95124, United States",https://www.google.com/maps/place/Madison+Radiology+Advanced+Imaging/data=!4m7!3m6!1s0x80c2c3685899f9b1:0xbba7e7490220d950!8m2!3d34.1470757!4d-118.1386534!16s%2Fg%2F1vd3w1kh!19sChIJsfmZWGjDwoARUNkgAknnp7s?authuser=0&hl=en&rclk=1,"
+1 626-793-8189",https://www.radnet.com/san-gabriel-valley/locations/madison-radiology-advanced-imaging
Valley Radiology Los Gatos,"4.7
(885)","
65 N Madison Ave Lower Level, Pasadena, CA 91101, United States",https://www.google.com/maps/place/Valley+Radiology+Los+Gatos/data=!4m7!3m6!1s0x808e350bbda13e47:0x6a2d42f22ef04fdb!8m2!3d37.2618502!4d-121.9662063!16s%2Fg%2F1trpr0cw!19sChIJRz6hvQs1joAR20_wLvJCLWo?authuser=0&hl=en&rclk=1,"
+1 408-866-7131",https://www.radnet.com/northern-california/locations/valley-radiology-los-gatos
Medical Imaging Center of Southern California,"4.7
(3,127)",,https://www.google.com/maps/place/Medical+Imaging+Center+of+Southern+California/data=!4m7!3m6!1s0x80c2bb4f9d4e2a91:0x929de469c2cfe273!8m2!3d34.0381326!4d-118.4753811!16s%2Fg%2F1tg6qcq0!19sChIJkSpOnU-7woARc-LPwmnknZI?authuser=0&hl=en&rclk=1,"
+1 310-829-9788",http://www.micsc.com/
California Imaging Institute,"4.8
(1,121)",,https://www.google.com/maps/place/California+Imaging+Institute/data=!4m7!3m6!1s0x80945d28d4bab103:0xcb69bcb1ceebb53f!8m2!3d36.8382617!4d-119.7484908!16s%2Fg%2F1ts1mwpv!19sChIJA7G61ChdlIARP7XrzrG8acs?authuser=0&hl=en&rclk=1,"
+1 559-325-5800",http://www.caimaginginstitute.com/
Kern Radiology Riverwalk,"4.7
(194)",,https://www.google.com/maps/place/Kern+Radiology+Riverwalk/data=!4m7!3m6!1s0x80ea43da4fa050cd:0x3a23b3fec2aec522!8m2!3d35.3555437!4d-119.1063576!16s%2Fg%2F11b65j6n4z!19sChIJzVCgT9pD6oARIsWuwv6zIzo?authuser=0&hl=en&rclk=1,"
+1 661-326-9600",https://www.radnet.com/kern-radiology/locations/kern-radiology-riverwalk
