Title,Rating,Address,Directions,Contact,Web Link
Central California Surgery,"4.2
(44)","
1001 Sylvan Ave Building A, Modesto, CA 95350, United States",https://www.google.com/maps/place/Central+California+Surgery/data=!4m7!3m6!1s0x8090541d593ce967:0x62ccab951ccea313!8m2!3d37.6892967!4d-120.9804904!16s%2Fg%2F11cjdddl0v!19sChIJZ-k8WR1UkIARE6POHJWrzGI?authuser=0&hl=en&rclk=1,"
+1 209-248-7168",http://www.centralcaliforniasurgery.com/
Southern California Center for Surgical Arts,"4.2
(44)","
4910 Van Nuys Blvd #102, Sherman Oaks, CA 91403, United States",https://www.google.com/maps/place/Southern+California+Center+for+Surgical+Arts/data=!4m7!3m6!1s0x80c297c9d449366b:0xc57a308e2714b23c!8m2!3d34.1598088!4d-118.4481845!16s%2Fg%2F1ptxp8ld2!19sChIJazZJ1MmXwoARPLIUJ44wesU?authuser=0&hl=en&rclk=1,"
+1 818-789-6622",http://www.socalsurgicalarts.com/
California Surgical Institute,"4.9
(150)","
9025 Wilshire Blvd # 411, Beverly Hills, CA 90211, United States",https://www.google.com/maps/place/California+Surgical+Institute/data=!4m7!3m6!1s0x80c2b956a3cc7be9:0x356fc6023b124829!8m2!3d34.0674017!4d-118.3884228!16s%2Fg%2F11xgwf2g9!19sChIJ6XvMo1a5woARKUgSOwLGbzU?authuser=0&hl=en&rclk=1,"
+1 310-275-1662",https://californiasurgicalinstitute.com/
Plastic Surgery Institute of California,"5.0
(1)","
19671 Beach Blvd #321, Huntington Beach, CA 92648, United States",https://www.google.com/maps/place/Plastic+Surgery+Institute+of+California/data=!4m7!3m6!1s0x80dd21336222ef9d:0x999f289d8c939915!8m2!3d33.6771567!4d-117.9892135!16s%2Fg%2F1tf9t3vf!19sChIJne8iYjMh3YARFZmTjJ0on5k?authuser=0&hl=en&rclk=1,"
+1 800-235-1234",http://plasticsurgeryinstituteofcalifornia.com/
Southern California Center for Surgical Arts,"4.4
(11)","
301 S Fair Oaks Ave #107, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Southern+California+Center+for+Surgical+Arts/data=!4m7!3m6!1s0x80c2c37a59ee9c7f:0x9362e7d8ab55a8f9!8m2!3d34.1403787!4d-118.1509634!16s%2Fg%2F1v3h_7k1!19sChIJf5zuWXrDwoAR-ahVq9jnYpM?authuser=0&hl=en&rclk=1,"
+1 626-210-3669",https://www.socalsurgicalarts.com/
"Rady Rahban, MD",,"
152 S Lasky Dr Suite 100, Beverly Hills, CA 90212, United States","https://www.google.com/maps/place/Rady+Rahban,+MD/data=!4m7!3m6!1s0x80c2bbf6355621fd:0x36167d62e780306c!8m2!3d34.065228!4d-118.4098055!16s%2Fg%2F1tf87brh!19sChIJ_SFWNfa7woARbDCA52J9FjY?authuser=0&hl=en&rclk=1","
+1 424-354-2053",https://www.radyrahban.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb
Pasadena Surgeons,,"
10 Congress St #360, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Pasadena+Surgeons/data=!4m7!3m6!1s0x80c2c37d98221577:0x80270416d5c4726b!8m2!3d34.1338093!4d-118.1506226!16s%2Fg%2F1hc1m05m0!19sChIJdxUimH3DwoARa3LE1RYEJ4A?authuser=0&hl=en&rclk=1,"
+1 626-683-9080",https://www.pasadenasurgeons.com/
Central California Surgery,,"
B, 644 E Harding Way suite b, Stockton, CA 95204, United States",https://www.google.com/maps/place/Central+California+Surgery/data=!4m7!3m6!1s0x80900d5d80005def:0xff8f7db3dad74da8!8m2!3d37.9677421!4d-121.2858009!16s%2Fg%2F11hd21pzrk!19sChIJ710AgF0NkIARqE3X2rN9j_8?authuser=0&hl=en&rclk=1,"
+1 209-244-9191",https://www.centralcaliforniasurgery.com/
Orange County Robotic Surgery - Dr. Abtin Khosravi,"4.3
(9)",,https://www.google.com/maps/place/Orange+County+Robotic+Surgery+-+Dr.+Abtin+Khosravi/data=!4m7!3m6!1s0x80dcdb29eaf4b3b1:0x9ea528ca5e06e1cc!8m2!3d33.780133!4d-117.8636519!16s%2Fg%2F11ghdnsxm4!19sChIJsbP06inb3IARzOEGXsoopZ4?authuser=0&hl=en&rclk=1,"
+1 714-541-4996",https://ocroboticsurgery.com/
Southern California Multi-Specialty Center.,"5.0
(81)",,https://www.google.com/maps/place/Southern+California+Multi-Specialty+Center./data=!4m7!3m6!1s0x80c2903f5eb0bed3:0x33041cb4138d89b5!8m2!3d34.275217!4d-118.569568!16s%2Fg%2F11f0xznshx!19sChIJ076wXj-QwoARtYmNE7QcBDM?authuser=0&hl=en&rclk=1,"
+1 818-900-6480",https://scmsc.com/
California Hernia Specialists: Specialty Care for Hernia Repair,"4.8
(12)",,https://www.google.com/maps/place/California+Hernia+Specialists:+Specialty+Care+for+Hernia+Repair/data=!4m7!3m6!1s0x80dcdef78ed18fbd:0x4fa18be4df91efc9!8m2!3d33.6694372!4d-117.8659042!16s%2Fg%2F1hdzs2skl!19sChIJvY_Rjvfe3IARye-R3-SLoU8?authuser=0&hl=en&rclk=1,"
+1 949-354-0296",http://www.californiaherniaspecialists.com/?utm_campaign=gmb
California Institute of Cosmetic & Reconstructive Surgery,"4.8
(100)",,https://www.google.com/maps/place/California+Institute+of+Cosmetic+%26+Reconstructive+Surgery/data=!4m7!3m6!1s0x80ea695feb9320fd:0x42354566ea47968a!8m2!3d35.3854356!4d-119.0391531!16s%2Fg%2F11mb1dk_jm!19sChIJ_SCT619p6oARipZH6mZFNUI?authuser=0&hl=en&rclk=1,"
+1 661-327-2101",http://plasticsurgery.vipmd.com/about-us/our-facility-and-staff/
California Specialty Surgery,"4.6
(25)",,https://www.google.com/maps/place/California+Specialty+Surgery/data=!4m7!3m6!1s0x80dcee91b59ca50b:0xf6a829c4746460a3!8m2!3d33.564632!4d-117.658308!16s%2Fg%2F1tg6qdz4!19sChIJC6WctZHu3IARo2BkdMQpqPY?authuser=0&hl=en&rclk=1,"
+1 949-348-0544",http://calspecialty.com/
California Specialists Medical Center,"5.0
(5)","
26371 Crown Valley Pkwy, Mission Viejo, CA 92691, United States",https://www.google.com/maps/place/California+Specialists+Medical+Center/data=!4m7!3m6!1s0x80c2c93cbc8dac01:0xa15c32b03f0a30f3!8m2!3d33.97949!4d-118.224301!16s%2Fg%2F11bttrnw9f!19sChIJAayNvDzJwoAR8zAKP7AyXKE?authuser=0&hl=en&rclk=1,"
+1 323-587-7000",http://californiaspecialistscenter.com/
"Dr. J Plastic Surgery (Payam Jarrah Nejad, MD)","3.8
(11)",,"https://www.google.com/maps/place/Dr.+J+Plastic+Surgery+%28Payam+Jarrah+Nejad,+MD%29/data=!4m7!3m6!1s0x80c2bbf7fca4f1d5:0x63f3c69873f1132!8m2!3d34.0682299!4d-118.4072926!16s%2Fg%2F1vc821zd!19sChIJ1fGk_Pe7woARMhE_h2k8PwY?authuser=0&hl=en&rclk=1","
+1 424-387-3800",https://drjplasticsurgery.com/
California Orthopedic & Micro Surgery Institute,"4.9
(87)","
465 N Roxbury Dr Suite 1017, Beverly Hills, CA 90212, United States",https://www.google.com/maps/place/California+Orthopedic+%26+Micro+Surgery+Institute/data=!4m7!3m6!1s0x80dd2ce3b0c5b817:0x3ce1ab324d1cd57!8m2!3d33.8807571!4d-118.0619168!16s%2Fg%2F11bc8cx6pn!19sChIJF7jFsOMs3YARV83RJLMazgM?authuser=0&hl=en&rclk=1,"
+1 562-239-2152",https://coi-e.com/
"Kranthi Achanta, MD","3.7
(78)","
12659 166th St, Cerritos, CA 90703, United States","https://www.google.com/maps/place/Kranthi+Achanta,+MD/data=!4m7!3m6!1s0x808fc08e0e2b1d3b:0x9cb993da76014f84!8m2!3d37.5540357!4d-121.9768671!16s%2Fg%2F1vc6dn42!19sChIJOx0rDo7Aj4ARhE8BdtqTuZw?authuser=0&hl=en&rclk=1","
+1 510-248-1450",https://www.mywtmf.com/Find-a-Doctor/A/Kranthi-K-Achanta-M-D-.aspx
California Colorectal Surgeons,"4.9
(97)","
39141 Civic Center Dr #335, Fremont, CA 94538, United States",https://www.google.com/maps/place/California+Colorectal+Surgeons/data=!4m7!3m6!1s0x80c2bead84b55f3d:0x6c856cfca97a6f90!8m2!3d34.0672305!4d-118.3864986!16s%2Fg%2F1pwfc2bl5!19sChIJPV-1hK2-woARkG96qfxshWw?authuser=0&hl=en&rclk=1,"
+1 310-854-3580",https://www.californiacolorectalsurgeons.com/
Richard Zoumalan M.D. F.A.C.S.,"4.4
(7)","
8929 Wilshire Blvd #302, Beverly Hills, CA 90211, United States",https://www.google.com/maps/place/Richard+Zoumalan+M.D.+F.A.C.S./data=!4m7!3m6!1s0x80c2bbfee952d327:0x38f82f425afe6b49!8m2!3d34.0691938!4d-118.4043743!16s%2Fg%2F1tnl1nss!19sChIJJ9NS6f67woARSWv-WkIv-Dg?authuser=0&hl=en&rclk=1,"
+1 310-278-1900",http://www.richardzoumalan.com/
Southern California Surgery Center,"5.0
(5)","
9033 Wilshire Blvd #200, Beverly Hills, CA 90211, United States",https://www.google.com/maps/place/Southern+California+Surgery+Center/data=!4m7!3m6!1s0x80c2c7068496eb53:0x7688918a1d7be1c4!8m2!3d34.0568879!4d-118.2781138!16s%2Fg%2F11pxng2qxf!19sChIJU-uWhAbHwoARxOF7HYqRiHY?authuser=0&hl=en&rclk=1,"
+1 424-332-0384",https://southerncaliforniasurgicalcenter.com/make-an-appointment/
California Speciality Surgery Center,"4.7
(268)","
7015 N Maple Ave #102, Fresno, CA 93720, United States",https://www.google.com/maps/place/California+Speciality+Surgery+Center/data=!4m7!3m6!1s0x80dcee91b0b8c4bb:0x261d1df229b3e072!8m2!3d33.5646637!4d-117.6583701!16s%2Fg%2F1td9__5p!19sChIJu8S4sJHu3IARcuCzKfIdHSY?authuser=0&hl=en&rclk=1,"
+1 559-234-1496",http://www.comg.com/
Stockton Plastic surgery,,"
4510 Brockton Ave STE 175, Riverside, CA 92501, United States",https://www.google.com/maps/place/Stockton+Plastic+surgery/data=!4m7!3m6!1s0x80900d68e0b920eb:0x95706c559094d5fc!8m2!3d37.9711055!4d-121.2897382!16s%2Fg%2F11c1rsjwmg!19sChIJ6yC54GgNkIAR_NWUkFVscJU?authuser=0&hl=en&rclk=1,"
+1 951-786-5550",
Plastic Surgery Specialists,"5.0
(2)","
1805 N California St STE 308, Stockton, CA 95204, United States",https://www.google.com/maps/place/Plastic+Surgery+Specialists/data=!4m7!3m6!1s0x80859a0bb7033193:0x1cf5807ae0f33f66!8m2!3d37.9494732!4d-122.5338564!16s%2Fg%2F1tfxy7w_!19sChIJkzEDtwuahYARZj_z4HqA9Rw?authuser=0&hl=en&rclk=1,"
+1 209-464-5656",https://www.psspecialists.com/
The Surgery Group of Los Angeles,"4.7
(117)","
350 Bon Air Rd #300, Greenbrae, CA 94904, United States",https://www.google.com/maps/place/The+Surgery+Group+of+Los+Angeles/data=!4m7!3m6!1s0x80c2b94d500d68cd:0xce1aa847de476ce3!8m2!3d34.0740781!4d-118.3809386!16s%2Fg%2F12mj83x_6!19sChIJzWgNUE25woAR42xH3keoGs4?authuser=0&hl=en&rclk=1,"
+1 415-925-2880",https://surgerygroupla.com/contact/
SoCal Plastic Surgery Center,"4.4
(26)","
8635 W 3rd St Suite 880W, Los Angeles, CA 90048, United States",https://www.google.com/maps/place/SoCal+Plastic+Surgery+Center/data=!4m7!3m6!1s0x80c2c5374c8cd16b:0x35ea5e9130cc4c40!8m2!3d34.0823745!4d-118.1228551!16s%2Fg%2F1tmz75_m!19sChIJa9GMTDfFwoARQEzMMJFe6jU?authuser=0&hl=en&rclk=1,"
+1 310-861-7493",https://surgerygroupla.com/
Dr. Hedieh Arbabzadeh - WPS Fresno,"4.6
(11)","
1108 S Garfield Ave, Alhambra, CA 91801, United States",https://www.google.com/maps/place/Dr.+Hedieh+Arbabzadeh+-+WPS+Fresno/data=!4m7!3m6!1s0x80945cd798f01bef:0x5d9bc8921660442a!8m2!3d36.8380303!4d-119.7398535!16s%2Fg%2F1thd6y03!19sChIJ7xvwmNdclIARKkRgFpLIm10?authuser=0&hl=en&rclk=1,"
+1 626-457-1118",http://www.socalplasticsurgerycenter.com/
Northern California Surgery Center,"4.6
(66)","
7050 N Recreation Ave # 102, Fresno, CA 93720, United States",https://www.google.com/maps/place/Northern+California+Surgery+Center/data=!4m7!3m6!1s0x809106e03720fc67:0xe050c0b99521c3e8!8m2!3d37.5278459!4d-120.8485056!16s%2Fg%2F1tht1psg!19sChIJZ_wgN-AGkYAR6MMhlbnAUOA?authuser=0&hl=en&rclk=1,"
+1 559-797-9000",
Jaw Surgery Los Angeles,"3.1
(22)","
3850 Geer Rd, Turlock, CA 95382, United States",https://www.google.com/maps/place/Jaw+Surgery+Los+Angeles/data=!4m7!3m6!1s0x80c2a37bbef03ef9:0xad472fd7871b5db0!8m2!3d34.0448765!4d-118.5255425!16s%2Fg%2F11f2_84qwr!19sChIJ-T7wvnujwoARsF0bh9cvR60?authuser=0&hl=en&rclk=1,"
+1 209-668-9866",https://www.jawsurgerylosangeles.com/contact/?y_source=1_MTY5Njc1NzctNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D
Southern California Orthopedic: Schopler Steven A MD,"4.6
(14)","
881 Alma Real Dr Suite 202, Pacific Palisades, CA 90272, United States",https://www.google.com/maps/place/Southern+California+Orthopedic:+Schopler+Steven+A+MD/data=!4m7!3m6!1s0x80ea69e2b051cedd:0x5f5aabdfa745c801!8m2!3d35.3683919!4d-119.0602261!16s%2Fg%2F1v76zzr0!19sChIJ3c5RsOJp6oARAchFp9-rWl8?authuser=0&hl=en&rclk=1,"
+1 310-361-3363",https://www.jawsurgerylosangeles.com/?y_source=1_MTY5Njc1NzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"Northern California Advanced Surgery Center, LP","5.0
(2)","
5201 Truxtun Ave, Bakersfield, CA 93309, United States","https://www.google.com/maps/place/Northern+California+Advanced+Surgery+Center,+LP/data=!4m7!3m6!1s0x809adf1760c7ef59:0x68d991f74014438b!8m2!3d38.6822854!4d-121.3271227!16s%2Fg%2F1wz52zf0!19sChIJWe_HYBffmoARi0MUQPeR2Wg?authuser=0&hl=en&rclk=1","
+1 661-328-5565",http://www.norcalasc.com/
California Hand Center of Los Angeles,"3.0
(6)","
5771 Greenback Ln, Sacramento, CA 95841, United States",https://www.google.com/maps/place/California+Hand+Center+of+Los+Angeles/data=!4m7!3m6!1s0x80c297897ef3ac51:0xa1eeea73baa011ee!8m2!3d34.1568214!4d-118.4831132!16s%2Fg%2F1tgx6w94!19sChIJUazzfomXwoAR7hGgunPq7qE?authuser=0&hl=en&rclk=1,"
+1 916-239-2042",http://www.norcalasc.com/
