Title,Rating,Address,Directions,Contact,Web Link
Universal Technical Institute,"3.9
(263)","
9494 Haven Ave, Rancho Cucamonga, CA 91730, United States",https://www.google.com/maps/place/Universal+Technical+Institute/data=!4m7!3m6!1s0x80c335bc261817e1:0xf564c79f9955948f!8m2!3d34.0823332!4d-117.5764004!16s%2Fg%2F1261vb79h!19sChIJ4RcYJrw1w4ARj5RVmZ_HZPU?authuser=0&hl=en&rclk=1,"
+1 909-484-1929",https://www.uti.edu/locations/california/rancho-cucamonga?utm_source=google&utm_medium=organic_search&utm_term=google_business_profile
Carrington College,,"
15555 E 14th St Ste 500, San Leandro, CA 94578, United States",https://www.google.com/maps/place/Carrington+College/data=!4m7!3m6!1s0x808f91d3b01bfc4d:0xa359254dc1abb2b6!8m2!3d37.6996939!4d-122.1258!16s%2Fm%2F0cw2k7d!19sChIJTfwbsNORj4ARtrKrwU0lWaM?authuser=0&hl=en&rclk=1,"
+1 510-964-3085",https://carrington.edu/location/san-leandro-california/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=san_leandro&utm_term=CC_SanLeandro
California Medical & Technical College,,"
2975 Wilshire Blvd Suite 607, Los Angeles, CA 90010, United States",https://www.google.com/maps/place/California+Medical+%26+Technical+College/data=!4m7!3m6!1s0x80c2c77702fd82d1:0x3488f55d864b792f!8m2!3d34.0624054!4d-118.2867383!16s%2Fg%2F11h2bcrwb5!19sChIJ0YL9AnfHwoARL3lLhl31iDQ?authuser=0&hl=en&rclk=1,"
+1 213-615-9280",
SF State Pharmacy Technician Certificate,"1.0
(1)","
160 Spear St 5th Floor, San Francisco, CA 94105, United States",https://www.google.com/maps/place/SF+State+Pharmacy+Technician+Certificate/data=!4m7!3m6!1s0x80858086057b5501:0xf37c0f79aa221d02!8m2!3d37.7911756!4d-122.3938288!16s%2Fg%2F1yfj7dmm7!19sChIJAVV7BYaAhYARAh0iqnkPfPM?authuser=0&hl=en&rclk=1,"
+1 415-817-4220",https://cpage.sfsu.edu/pharmacy
Modern Technology School,"5.0
(2)",,https://www.google.com/maps/place/Modern+Technology+School/data=!4m7!3m6!1s0x80dcd89bf35c7ce1:0xff32ab45a37f18ff!8m2!3d33.7229763!4d-117.9187724!16s%2Fm%2F0clvzgj!19sChIJ4Xxc85vY3IAR_xh_o0WrMv8?authuser=0&hl=en&rclk=1,"
+1 714-418-9100",http://www.mtschool.edu/
DeHart Technical School,"3.1
(15)","
311 Bitritto Wy Suite C, Modesto, CA 95356, United States",https://www.google.com/maps/place/DeHart+Technical+School/data=!4m7!3m6!1s0x809050cf4b4b310d:0xf6cea5c328492b56!8m2!3d37.713384!4d-120.9977856!16s%2Fg%2F11clf_r14m!19sChIJDTFLS89QkIARVitJKMOlzvY?authuser=0&hl=en&rclk=1,"
+1 209-497-6105",http://www.deharttech.edu/?utm_source=google&utm_medium=gmb&utm_campaign=modesto
California School of Health Sciences,"5.0
(34)",,https://www.google.com/maps/place/California+School+of+Health+Sciences/data=!4m7!3m6!1s0x80dd28080f72dd0d:0x98e58d2fc6ec78df!8m2!3d33.816647!4d-117.88787!16s%2Fg%2F1w96h0wm!19sChIJDd1yDwgo3YAR33jsxi-N5Zg?authuser=0&hl=en&rclk=1,"
+1 714-539-7081",http://www.cshs.edu/
North-West College - Pomona,"4.1
(13)",,https://www.google.com/maps/place/North-West+College+-+Pomona/data=!4m7!3m6!1s0x80c32de36d71f68f:0xc38e050e4e417a4c!8m2!3d34.0620787!4d-117.751272!16s%2Fm%2F0clvl1c!19sChIJj_ZxbeMtw4ARTHpBTg4FjsM?authuser=0&hl=en&rclk=1,"
+1 909-236-7106",https://www.nw.edu/locations/pomona-campus/
"The Master Technicians, Inc.","4.1
(60)",,"https://www.google.com/maps/place/The+Master+Technicians,+Inc./data=!4m7!3m6!1s0x809b103dc9b5cf8b:0xbae81fc4b8cdcf01!8m2!3d38.9520391!4d-121.0956003!16s%2Fg%2F1tfgk1q_!19sChIJi8-1yT0Qm4ARAc_NuMQf6Lo?authuser=0&hl=en&rclk=1","
+1 530-889-9682",http://www.mastertechnicians.net/
California Phlebotomy School,"4.6
(11)","
12209 Locksley Ln, Auburn, CA 95602, United States",https://www.google.com/maps/place/California+Phlebotomy+School/data=!4m7!3m6!1s0x80dc81e9d3b600bb:0xdc341c1060bd8aed!8m2!3d33.5331607!4d-117.1799858!16s%2Fg%2F11j007gqjp!19sChIJuwC20-mB3IAR7Yq9YBAcNNw?authuser=0&hl=en&rclk=1,"
+1 951-326-9992",https://caliphlebotomy.com/
