Title,Rating,Address,Directions,Contact,Web Link,SitemapExists,ContactPageURL,Emails,Phones,ContactPersons,OtherInfo
California Dental,,"
1009 Glenoaks Blvd, San Fernando, CA 91340, United States",https://www.google.com/maps/place/California+Dental/data=!4m7!3m6!1s0x80c291d33c81601f:0xcbb3afe8df9b3b69!8m2!3d34.290861!4d-118.4295614!16s%2Fg%2F1tn01h8g!19sChIJH2CBPNORwoARaTub3-ivs8s?authuser=0&hl=en&rclk=1,"
+1 818-361-3889",https://www.california-dental.net/,True,,,,Dr. Arman Petrosyan,"{""address"": ""San Fernando, CA"", ""social_media"": {}}"
Dental Group of California,,"
4952 Cesar Chavez Blvd #101, Fresno, CA 93727, United States",https://www.google.com/maps/place/Dental+Group+of+California/data=!4m7!3m6!1s0x8094592fffffffff:0xa8752de284b8242!8m2!3d36.7356348!4d-119.7300539!16s%2Fg%2F1vc6dncd!19sChIJ_____y9ZlIARQoJLKN5Shwo?authuser=0&hl=en&rclk=1,"
+1 559-453-9100",http://www.dentalgroupofcalifornia.com/,True,,,,"Roxanne, Julie, Mireya, Maria, Yelina, Edith, Messthly","{""address"": ""4952 E. Kings Canyon Rd, Suite 101, Fresno, CA, 93727"", ""social_media"": {""Google Maps"": ""Link to our Google Maps page"", ""Yelp"": ""Link to our Yelp page""}}"
Southern California Family Dentistry,"4.6
(215)",,https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80dce8f8d7ea1469:0x769c99b7ad8d2380!8m2!3d33.6240846!4d-117.6972946!16s%2Fg%2F1ts3lhp2!19sChIJaRTq1_jo3IARgCONrbeZnHY?authuser=0&hl=en&rclk=1,"
+1 949-830-3743",http://www.scfamilydentistry.com/,False,,,,,{}
California Dental Group Los Angeles,,"
4701 Eagle Rock Blvd, Los Angeles, CA 90041, United States",https://www.google.com/maps/place/California+Dental+Group+Los+Angeles/data=!4m7!3m6!1s0x80c2c15b5070f019:0x4b5e8b97d2cb7b1c!8m2!3d34.1304425!4d-118.2169757!16s%2Fg%2F1tj4yzvs!19sChIJGfBwUFvBwoARHHvL0peLXks?authuser=0&hl=en&rclk=1,"
+1 323-204-3120",http://www.cadentalgroup.com/,False,,,,,{}
California Dental Care and Orthodontics,"4.8
(1,128)","
9275 Base Line Rd, Rancho Cucamonga, CA 91730, United States",https://www.google.com/maps/place/California+Dental+Care+and+Orthodontics/data=!4m7!3m6!1s0x80c3368c9b7c69ff:0x563a455bfc587b2b!8m2!3d34.1212653!4d-117.6027321!16s%2Fg%2F1tf1c0dq!19sChIJ_2l8m4w2w4ARK3tY_FtFOlY?authuser=0&hl=en&rclk=1,"
+1 909-265-4940",https://dentalcarecalifornia.com/,True,,,,,"{""address"": ""9275 Baseline Road, Rancho Cucamonga, CA 91730"", ""social_media"": {""facebook"": ""https://www.facebook.com/californiadentalcareorthodontics"", ""instagram"": ""https://www.instagram.com/californiadentalcare"", ""youtube"": ""https://www.youtube.com/californiadentalcareorthodontics"", ""tiktok"": ""https://www.tiktok.com/@californiadentalcare""}}"
"California Dental Care, American Canyon, Nahreen Imam, DDS, Inc.","4.4
(331)","
3860 Broadway #104, American Canyon, CA 94503, United States","https://www.google.com/maps/place/California+Dental+Care,+American+Canyon,+Nahreen+Imam,+DDS,+Inc./data=!4m7!3m6!1s0x80850c6fd6c0ad4b:0xef82d79b834eb556!8m2!3d38.176784!4d-122.253757!16s%2Fg%2F1wcxd9n6!19sChIJS63A1m8MhYARVrVOg5vXgu8?authuser=0&hl=en&rclk=1","
+1 707-553-8008",https://www.cdsmile.com/,True,,,,,{}
Southern California Family Dentistry,,"
14412 Whittier Blvd, Whittier, CA 90605, United States",https://www.google.com/maps/place/Southern+California+Family+Dentistry/data=!4m7!3m6!1s0x80c2d48219ac3d49:0xa4e846c3b0dfbc4b!8m2!3d33.9542689!4d-118.0173864!16s%2Fg%2F1tf7mv65!19sChIJST2sGYLUwoARS7zfsMNG6KQ?authuser=0&hl=en&rclk=1,"
+1 562-693-0788",http://www.scfamilydentistry.com/,False,,,,,{}
Cal Dental of Bell,"4.6
(228)","
4021 Florence Ave, Bell, CA 90201, United States",https://www.google.com/maps/place/Cal+Dental+of+Bell/data=!4m7!3m6!1s0x80c2cebc0e63e35d:0x586fc93f84bdb126!8m2!3d33.9713787!4d-118.1959147!16s%2Fg%2F11bx0jkv98!19sChIJXeNjDrzOwoARJrG9hD_Jb1g?authuser=0&hl=en&rclk=1,"
+1 323-560-6096",https://caldentalusa.com/caldentalbell,True,,,,,{}
Glenn Dental,,"
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/Glenn+Dental/data=!4m7!3m6!1s0x80c22c5b73052951:0xfe71ea5c2150f763!8m2!3d35.1268575!4d-117.9568975!16s%2Fg%2F1tdyr11m!19sChIJUSkFc1sswoARY_dQIVzqcf4?authuser=0&hl=en&rclk=1,"
+1 760-373-1950",https://www.glenndental.com/,True,,,,,{}
California Dental Group,"4.4
(51)","
21031 Constitution Dr #101, California City, CA 93505, United States",https://www.google.com/maps/place/California+Dental+Group/data=!4m7!3m6!1s0x80c29587d3d16d1f:0x1b960860fee6cce1!8m2!3d34.1647413!4d-118.3573577!16s%2Fg%2F1tk63cq3!19sChIJH23R04eVwoAR4czm_mAIlhs?authuser=0&hl=en&rclk=1,"
+1 818-741-3954",https://www.cadentalgroup.com/contact/north-hollywood/,False,,,,,{}
