Title,Rating,Address,Directions,Contact,Web Link,SitemapExists,ContactPageURL,Emails,Phones,ContactPersons,OtherInfo
California Specialty Pharmacy,"3.8
(30)",,https://www.google.com/maps/place/California+Specialty+Pharmacy/data=!4m7!3m6!1s0x80c2d39916e651e3:0xdf0f0ab4eb3f18cd!8m2!3d33.9824594!4d-118.0476266!16s%2Fg%2F1w04kcq6!19sChIJ41HmFpnTwoARzRg_67QKD98?authuser=0&hl=en&rclk=1,"
+1 562-698-6305",http://www.csprx.com/,False,,,,,{}
Cal Oaks Pharmacy,"4.4
(81)","
55 E California Blvd # 103, Pasadena, CA 91105, United States",https://www.google.com/maps/place/Cal+Oaks+Pharmacy/data=!4m7!3m6!1s0x80c2c37ce9ae5507:0xf6792619dd241053!8m2!3d34.1359327!4d-118.149369!16s%2Fg%2F1td00rn7!19sChIJB1Wu6XzDwoARUxAk3RkmefY?authuser=0&hl=en&rclk=1,"
+1 626-795-5956",https://stores.healthmart.com/caloakspharmacy/stores.aspx,False,https://stores.healthmart.com/caloakspharmacy/contact,,,,"{""address"": ""2025 McKesson Corporation"", ""social_media"": {}}"
Selma Pharmacy,"4.9
(71)",,https://www.google.com/maps/place/Selma+Pharmacy/data=!4m7!3m6!1s0x8094f180f00c1b9d:0xc75c8037f5f774f6!8m2!3d36.5705347!4d-119.6134897!16s%2Fg%2F11k1ntj6bb!19sChIJnRsM8IDxlIAR9nT39TeAXMc?authuser=0&hl=en&rclk=1,"
+1 559-318-9646",http://www.selmapharmacy.com/,False,,,,,{}
Pharmacy of the Desert,"4.9
(70)",,https://www.google.com/maps/place/Pharmacy+of+the+Desert/data=!4m7!3m6!1s0x80daf8ff84ccc3a9:0xcbe1e8282c25e244!8m2!3d33.7086806!4d-116.2784406!16s%2Fg%2F11cn9sb4rg!19sChIJqcPMhP_42oARROIlLCjo4cs?authuser=0&hl=en&rclk=1,"
+1 760-777-1115",http://www.pharmacyofthedesert.com/,True,,,,,"{""address"": ""79440 California Highway 111 #103, La Quinta, California 92253, United States""}"
CVS Pharmacy,"4.3
(4)",,https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x809940d0ddc53335:0x8424550f254f1065!8m2!3d39.5151762!4d-119.8280865!16s%2Fg%2F11c463qg3x!19sChIJNTPF3dBAmYARZRBPJQ9VJIQ?authuser=0&hl=en&rclk=1,"
+1 775-323-0701",https://www.cvs.com/store-locator/reno-nv-pharmacies/1119-california-ave-reno-nv-89509/storeid=9168?WT.mc_id=LS_GOOGLE_RX_9168,False,https://www.cvs.com/store-locator/reno-nv-pharmacies/1119-california-ave-reno-nv-89509/contact,,,,{}
CalOaks 3 Pharmacy,"3.4
(18)",,https://www.google.com/maps/place/CalOaks+3+Pharmacy/data=!4m7!3m6!1s0x80c2db350a29976f:0x67f3bfd728a317bd!8m2!3d34.1202909!4d-118.1095257!16s%2Fg%2F1q4km1fcz!19sChIJb5cpCjXbwoARvRejKNe_82c?authuser=0&hl=en&rclk=1,"
+1 626-382-2580",https://stores.healthmart.com/caloaksiiihmpharmacy/stores.aspx,False,https://stores.healthmart.com/caloaksiiihmpharmacy/contact,,,,"{""address"": ""2025 McKesson Corporation""}"
Cajon Pharmacy,"4.7
(21)",,https://www.google.com/maps/place/Cajon+Pharmacy/data=!4m7!3m6!1s0x80dcaa0ee7695561:0x9c5306cd3e438209!8m2!3d34.0525223!4d-117.1808697!16s%2Fg%2F1hhh0yw7z!19sChIJYVVp5w6q3IARCYJDPs0GU5w?authuser=0&hl=en&rclk=1,"
+1 909-792-4922",https://stores.healthmart.com/cajonpharmacy/stores.aspx,False,https://stores.healthmart.com/cajonpharmacy/contact,,,,"{""address"": """", ""social_media"": {}}"
CVS Pharmacy,"5.0
(75)","
232 Cajon St, Redlands, CA 92373, United States",https://www.google.com/maps/place/CVS+Pharmacy/data=!4m7!3m6!1s0x808fb7337e732ed3:0x16fa9c16cce5a989!8m2!3d37.392128!4d-122.080999!16s%2Fg%2F119wn4m_7!19sChIJ0y5zfjO3j4ARianlzBac-hY?authuser=0&hl=en&rclk=1,"
+1 650-691-4004",https://www.cvs.com/store-locator/mountain-view-ca-pharmacies/850-california-st-mountain-view-ca-94041/storeid=7774?WT.mc_id=LS_GOOGLE_RX_7774,False,https://www.cvs.com/store-locator/mountain-view-ca-pharmacies/850-california-st-mountain-view-ca-94041/contact,,,,{}
Go To Pharmacy RX,"2.5
(28)",,https://www.google.com/maps/place/Go+To+Pharmacy+RX/data=!4m7!3m6!1s0x80c29736d5180da9:0x68e6239d7bc774!8m2!3d34.1791899!4d-118.3972003!16s%2Fg%2F11fphksc1y!19sChIJqQ0Y1TaXwoARdMd7nSPmaAA?authuser=0&hl=en&rclk=1,"
+1 818-850-7010",https://gotopharmacy.co/,False,https://gotopharmacy.co/contact,,,,"{""address"": ""5961 Laurel Canyon Blvd #2 #2, Valley Glen CA 91607"", ""social_media"": {}}"
Walgreens Pharmacy,"4.0
(16)","
3756 Santa Rosalia Dr, Los Angeles, CA 90008, United States",https://www.google.com/maps/place/Walgreens+Pharmacy/data=!4m7!3m6!1s0x80858731465e419d:0x66adc247a1052bc1!8m2!3d37.7862875!4d-122.4535204!16s%2Fg%2F11gcdqjx_s!19sChIJnUFeRjGHhYARwSsFoUfCrWY?authuser=0&hl=en&rclk=1,"
+1 415-668-5202",https://www.walgreens.com/locator/walgreens-3601+california+st-san+francisco-ca-94118/id=896,False,https://www.walgreens.com/locator/walgreens-3601+california+st-san+francisco-ca-94118/contact-us,,,,{}
